day,revenues,cumulative_revenues
2021-12-02T19:00:00+00:00,75.61483673221522,298784.31030235393
2021-12-02T20:00:00+00:00,33.83254895281774,298818.14285130677
2021-12-02T21:00:00+00:00,138.51365139464514,298956.6565027014
2021-12-02T22:00:00+00:00,7.053992228894614,298963.7104949303
2021-12-02T23:00:00+00:00,40.6965173705184,299004.4070123008
2021-12-03T00:00:00+00:00,131.9412317406911,299136.3482440415
2021-12-03T01:00:00+00:00,0.6347675962009361,299136.9830116377
2021-12-03T02:00:00+00:00,1.0118153184467482,299137.9948269561
2021-12-03T03:00:00+00:00,91.4499646059771,299229.4447915621
2021-12-03T04:00:00+00:00,121.75260246541434,299351.1973940275
2021-12-03T05:00:00+00:00,158.20399398217856,299509.40138800966
2021-12-03T06:00:00+00:00,99.75694259970204,299609.1583306094
2021-12-03T07:00:00+00:00,67.37775311400355,299676.53608372336
2021-12-03T08:00:00+00:00,44.12510434973955,299720.6611880731
2021-12-03T09:00:00+00:00,19.124528377533306,299739.78571645066
2021-12-03T10:00:00+00:00,103.26770442649365,299843.05342087714
2021-12-03T11:00:00+00:00,92.78427137826434,299935.8376922554
2021-12-03T12:00:00+00:00,,299935.8376922554
2021-12-03T13:00:00+00:00,44.751742814348205,299980.58943506976
2021-12-03T14:00:00+00:00,50.176040743781584,300030.76547581353
2021-12-03T15:00:00+00:00,148.7419989097092,300179.5074747232
2021-12-03T16:00:00+00:00,164.82251792047944,300344.3299926437
2021-12-03T17:00:00+00:00,229.88228132778008,300574.21227397147
2021-12-03T18:00:00+00:00,626.2047398763972,301200.41701384785
2021-12-03T19:00:00+00:00,342.4492555474827,301542.86626939534
2021-12-03T20:00:00+00:00,199.7298824980799,301742.59615189343
2021-12-03T21:00:00+00:00,93.4083131307986,301836.0044650242
2021-12-03T22:00:00+00:00,,301836.0044650242
2021-12-03T23:00:00+00:00,71.62141287076909,301907.625877895
2021-12-04T00:00:00+00:00,260.6184175979756,302168.24429549294
2021-12-04T01:00:00+00:00,82.50268877845136,302250.7469842714
2021-12-04T02:00:00+00:00,5.4112432826196635,302256.158227554
2021-12-04T03:00:00+00:00,45.02425962274209,302301.18248717673
2021-12-04T04:00:00+00:00,490.6025548937736,302791.7850420705
2021-12-04T05:00:00+00:00,695.4481335206954,303487.2331755912
2021-12-04T06:00:00+00:00,320.43190933335575,303807.66508492455
2021-12-04T07:00:00+00:00,2222.622410938072,306030.28749586263
2021-12-04T08:00:00+00:00,823.795758564097,306854.0832544267
2021-12-04T09:00:00+00:00,263.58113287439636,307117.66438730113
2021-12-04T10:00:00+00:00,61.18152576963912,307178.8459130708
2021-12-04T11:00:00+00:00,240.51562967577496,307419.36154274654
2021-12-04T12:00:00+00:00,61.321083751094434,307480.68262649764
2021-12-04T13:00:00+00:00,201.30279515961237,307681.9854216573
2021-12-04T14:00:00+00:00,602.9072392543077,308284.8926609116
2021-12-04T15:00:00+00:00,411.89808684194634,308696.7907477536
2021-12-04T16:00:00+00:00,37.487016218448055,308734.277763972
2021-12-04T17:00:00+00:00,98.06991869903135,308832.34768267104
2021-12-04T18:00:00+00:00,153.16764855000002,308985.51533122105
2021-12-04T19:00:00+00:00,184.06831375249507,309169.5836449735
2021-12-04T20:00:00+00:00,112.0360941138728,309281.6197390874
2021-12-04T21:00:00+00:00,48.99996517501256,309330.6197042624
2021-12-04T22:00:00+00:00,0.49979887076738566,309331.1195031332
2021-12-04T23:00:00+00:00,79.18726357555585,309410.30676670873
2021-12-05T00:00:00+00:00,181.62497219128613,309591.9317389
2021-12-05T01:00:00+00:00,142.3346694907173,309734.2664083907
2021-12-05T02:00:00+00:00,35.08222388905998,309769.3486322798
2021-12-05T03:00:00+00:00,86.73980646851552,309856.0884387483
2021-12-05T04:00:00+00:00,232.03762867747594,310088.1260674258
2021-12-05T05:00:00+00:00,149.53583187239585,310237.6618992982
2021-12-05T06:00:00+00:00,53.46375850236709,310291.1256578006
2021-12-05T07:00:00+00:00,3.207267464957605,310294.33292526554
2021-12-05T08:00:00+00:00,129.67563418516758,310424.0085594507
2021-12-05T09:00:00+00:00,2.8718251880324166,310426.88038463873
2021-12-05T10:00:00+00:00,1.0060944895747268,310427.8864791283
2021-12-05T11:00:00+00:00,1.3212724968166003,310429.20775162516
2021-12-05T12:00:00+00:00,0.3373602468183332,310429.54511187196
2021-12-05T13:00:00+00:00,89.06282976245119,310518.60794163443
2021-12-05T14:00:00+00:00,19.584301987218982,310538.1922436216
2021-12-05T15:00:00+00:00,301.62137331902585,310839.81361694064
2021-12-05T16:00:00+00:00,120.80856295562349,310960.6221798963
2021-12-05T17:00:00+00:00,106.55281588783477,311067.1749957841
2021-12-05T18:00:00+00:00,466.136950402237,311533.31194618635
2021-12-05T19:00:00+00:00,53.98136495931523,311587.2933111457
2021-12-05T20:00:00+00:00,300.7775250624191,311888.0708362081
2021-12-05T21:00:00+00:00,0.7277716505182419,311888.79860785865
2021-12-05T22:00:00+00:00,3.7362280553559732,311892.53483591403
2021-12-05T23:00:00+00:00,320.9949818796618,312213.5298177937
