day,relayer_total_fee_eth,relayer_gas_cost_eth,relayer_profit_eth,relayer_total_fee_usd,relayer_gas_cost_usd,relayer_profit_usd
2021-12-20T00:00:00+00:00,0.39542350000000000000,0.19891487892701694000,0.19650862107298306000,1526.791547535,768.4289616739118,758.3625858610882
2021-12-19T00:00:00+00:00,1.03403150000000000000,0.50240023641110743500,0.53163126358889256500,4094.4963329449997,1988.794062129084,2105.7022708159157
2021-12-18T00:00:00+00:00,0.50739200000000000000,0.25102976552464516400,0.25636223447535483600,1993.2679996699999,986.2206243989974,1007.0473752710024
2021-12-17T00:00:00+00:00,0.65100050000000000000,0.33409042632663947200,0.31691007367336052800,2549.252651025,1308.644565739223,1240.6080852857772
2021-12-16T00:00:00+00:00,0.55958700000000000000,0.27728886641338233200,0.28229813358661766800,2254.100263515,1116.945295007812,1137.154968507188
2021-12-15T00:00:00+00:00,0.58700400000000000000,0.31532455009462308700,0.27167944990537691300,2272.99708823,1220.2696891704513,1052.7273990595484
2021-12-14T00:00:00+00:00,0.82251050000000000000,0.42360974256114978400,0.39890075743885021600,3118.39882458,1605.3249024951413,1513.0739220848586
2021-12-13T00:00:00+00:00,0.55587750000000000000,0.26306401687594897900,0.29281348312405102100,2210.4296142549997,1046.3188993654744,1164.1107148895255
2021-12-12T00:00:00+00:00,1.25076950000000000000,0.59717024707191533100,0.65359925292808466900,5081.03748578,2425.4284364985333,2655.6090492814665
2021-12-11T00:00:00+00:00,0.84031228067955000000,0.41612340435970964300,0.42418887631984035700,3390.787553262393,1679.2443050126212,1711.5432482497713
2021-12-10T00:00:00+00:00,0.62526300000000000000,0.31729614442518696400,0.30796685557481303600,2578.104587455,1308.5180423804131,1269.586545074587
2021-12-09T00:00:00+00:00,0.43079350000000000000,0.22405825275556765200,0.20673524724443234800,1830.0135852649998,952.4413530777206,877.5722321872793
2021-12-08T00:00:00+00:00,0.54530400000000000000,0.29321895501043862400,0.25208504498956137600,2365.37801919,1272.4374517087201,1092.9405674812797
2021-12-07T00:00:00+00:00,0.87914400000000000000,0.42401549368408316800,0.41045850631591683200,3833.85258206,1846.8692865450262,1789.6919867149736
2021-12-06T00:00:00+00:00,0.46968200000000000000,0.21219961724720181600,0.25748238275279818400,1972.0528916849998,890.3455741434627,1081.7073175415371
2021-12-05T00:00:00+00:00,0.37378100000000000000,0.17997686754607831300,0.19380413245392168700,1561.5627605999998,752.8938113447306,808.6689492552695
2021-12-04T00:00:00+00:00,0.56102850000000000000,0.28520456318009037200,0.27582393681990962800,2277.4097460400003,1159.0163843764624,1118.3933616635377
2021-12-03T00:00:00+00:00,0.54858200000000000000,0.27264237436755270000,0.27593962563244730000,2490.85677712,1237.8078302186645,1253.0489469013353
2021-12-02T00:00:00+00:00,0.76296300000000000000,0.39662956500347075200,0.36633343499652924800,3458.47949558,1797.4598402466768,1661.0196553333233
2021-12-01T00:00:00+00:00,0.40004100000000000000,0.18014968824299081200,0.21989131175700918800,1874.48600617,844.5092624069529,1029.9767437630471
2021-11-30T00:00:00+00:00,0.47730110000000000000,0.30666709572682658800,0.17063400427317341200,2158.125830887,1382.1364535751713,775.9893773118288
2021-11-29T00:00:00+00:00,0.92781220000000000000,0.67675174132864154800,0.25106045867135845200,4035.296620372,2941.9020828976627,1093.3945374743373
2021-11-28T00:00:00+00:00,0.87729230000000000000,0.60332621346905531600,0.27396608653094468400,3579.299746576,2461.2255505185476,1118.0741960574528
2021-11-27T00:00:00+00:00,0.50525070000000000000,0.36859096371347490000,0.13665973628652510000,2091.819778908,1526.3782112027461,565.4415677052539
2021-11-26T00:00:00+00:00,0.51190950000000000000,0.34799017831291420200,0.16391932168708579800,2170.339205068,1479.4073803629276,690.9318247050725
2021-11-25T00:00:00+00:00,0.77321150000000000000,0.50311416071255455000,0.27009733928744545000,3395.08570413,2213.6254944119296,1181.4602097180702
2021-11-24T00:00:00+00:00,0.37750160000000000000,0.28452788235821700200,0.09297371764178299800,1610.212707833,1213.2729774513182,396.9397303816819
2021-11-23T00:00:00+00:00,0.80420060000000000000,0.55330565848440565600,0.25089494151559434400,3385.671301172,2330.36037863986,1055.3109225321405
2021-11-22T00:00:00+00:00,0.35347240000000000000,0.25152452608650377600,0.10194787391349622400,1485.3893237440002,1056.87392754434,428.5153961996602
2021-11-21T00:00:00+00:00,0.59756080000000000000,0.43579745417401789900,0.16176334582598210100,2605.784124209,1901.059487975237,704.7246362337628
2021-11-20T00:00:00+00:00,0.58776520000000000000,0.38952301290469634400,0.19824218709530365600,2547.475863638,1686.1909077284777,861.2849559095223
2021-11-19T00:00:00+00:00,0.45321860000000000000,0.29228345079383692000,0.16093514920616308000,1906.2617115189996,1228.1807148227226,678.0809966962772
2021-11-18T00:00:00+00:00,0.50554200000000000000,0.36964335586199832400,0.13589864413800167600,2126.0194306430003,1550.4605259320342,575.5589047109656
2021-11-17T00:00:00+00:00,0.24971850000000000000,0.18059739293437439200,0.06912110706562560800,1049.514316689,758.9035607154283,290.6107559735717
2021-11-16T00:00:00+00:00,1.05795020000000000000,0.70492894235761084000,0.35302125764238916000,4568.101052369,3043.5404959380066,1524.5605564309935
2021-11-15T00:00:00+00:00,0.49030470000000000000,0.32203216576095679300,0.16827253423904320700,2318.142906059,1522.8738853261036,795.2690207328965
2021-11-14T00:00:00+00:00,0.72038330000000000000,0.45846248116721551600,0.19796251883278448400,3308.533556145,2108.3466395934597,909.1465911505404
2021-11-13T00:00:00+00:00,0.40929850000000000000,0.29549432170920810000,0.11380417829079190000,1900.2441115549998,1371.967716904343,528.276394650657
