time,deposits_eth,withdrawals_eth,deposits,withdrawals
2021-12-17T00:00:00+00:00,630.0000000000000000,740.0000000000000000,2457066.9,2877672.7000000007
2021-12-16T00:00:00+00:00,740.0000000000000000,920.0000000000000000,2986715.100000001,3712004.0999999987
2021-12-15T00:00:00+00:00,780.0000000000000000,860.0000000000000000,3030858.599999999,3323024.500000001
2021-12-14T00:00:00+00:00,680.0000000000000000,520.0000000000000000,2586355.4999999995,1977898
2021-12-13T00:00:00+00:00,670.0000000000000000,690.0000000000000000,2627306.8999999994,2701574.2000000016
2021-12-12T00:00:00+00:00,450.0000000000000000,470.0000000000000000,1829684.2,1916376.8000000005
2021-12-11T00:00:00+00:00,350.0000000000000000,620.0000000000000000,1407691.0999999999,2490557.599999999
2021-12-10T00:00:00+00:00,650.0000000000000000,560.0000000000000000,2658273.6999999997,2301844.6999999997
2021-12-09T00:00:00+00:00,760.0000000000000000,440.0000000000000000,3301474.400000001,1898022.7999999996
2021-12-08T00:00:00+00:00,410.0000000000000000,560.0000000000000000,1792240.7999999998,2443922.3
2021-12-07T00:00:00+00:00,460.0000000000000000,580.0000000000000000,1999298.2,2521472.5000000005
2021-12-06T00:00:00+00:00,740.0000000000000000,940.0000000000000000,3048285.2000000025,3888718.700000001
2021-12-05T00:00:00+00:00,610.0000000000000000,460.0000000000000000,2554222.999999999,1914461.0000000005
2021-12-04T00:00:00+00:00,680.0000000000000000,420.0000000000000000,2736658.000000001,1691654.6000000003
2021-12-03T00:00:00+00:00,530.0000000000000000,630.0000000000000000,2370597.9999999995,2839132.4000000004
2021-12-02T00:00:00+00:00,510.0000000000000000,580.0000000000000000,2314123.200000001,2629931.2
2021-12-01T00:00:00+00:00,650.0000000000000000,660.0000000000000000,3065553.7000000016,3101205.5000000014
2021-11-30T00:00:00+00:00,540.0000000000000000,770.0000000000000000,2460023.6,3491438.6000000006
2021-11-29T00:00:00+00:00,650.0000000000000000,610.0000000000000000,2835469.7000000016,2660639.099999999
2021-11-28T00:00:00+00:00,590.0000000000000000,730.0000000000000000,2405424.6999999993,2987768.5000000014
2021-11-27T00:00:00+00:00,770.0000000000000000,570.0000000000000000,3171376.2999999984,2345885.8999999994
2021-11-26T00:00:00+00:00,530.0000000000000000,770.0000000000000000,2204689.8000000003,3225298.6
2021-11-25T00:00:00+00:00,1120.0000000000000000,780.0000000000000000,4928174.000000006,3435718.4
2021-11-24T00:00:00+00:00,990.0000000000000000,800.0000000000000000,4222770.9,3407828.1999999997
2021-11-23T00:00:00+00:00,790.0000000000000000,550.0000000000000000,3355207.400000002,2341055.8
2021-11-22T00:00:00+00:00,470.0000000000000000,540.0000000000000000,1962219.5000000007,2243997.0999999996
2021-11-21T00:00:00+00:00,390.0000000000000000,750.0000000000000000,1700564.1999999997,3268994.5000000023
2021-11-20T00:00:00+00:00,410.0000000000000000,610.0000000000000000,1765761,2624982.700000002
2021-11-19T00:00:00+00:00,350.0000000000000000,450.0000000000000000,1474022.9999999998,1879195.8000000007
2021-11-18T00:00:00+00:00,480.0000000000000000,430.0000000000000000,2003958.3999999994,1793104.6000000006
