day,mint,burn
2021-12-17T00:00:00+00:00,148777.0613863862123261,-12445176.472560277504000000000000000000000000
2021-12-16T00:00:00+00:00,1103118.2498583263562063,-10054018.938907743110000000000000000000000000
2021-12-15T00:00:00+00:00,13064716.1193091873604892,-17190493.219113823475403600000000000000000000
2021-12-14T00:00:00+00:00,1916819.5881740315890691,-2409217.390734746227546300000000000000000000
2021-12-13T00:00:00+00:00,12230563.1181008531672802,-51918727.993206893955611000000000000000000000
2021-12-12T00:00:00+00:00,9831892.8345008566458790,-6429728.473263074665696800000000000000000000
2021-12-11T00:00:00+00:00,2482590.058289664735648772000000,-21340232.974886418189076200000000000000000000
