hour,totalLQTYStaked,totalLQTYClaimed
2022-02-10T18:00:00+00:00,12117709.000382799680,15342260.226256502323558304000000000000000000
2022-02-11T00:00:00+00:00,12118078.430382799680,15342260.226256502323558304000000000000000000
2022-02-11T01:00:00+00:00,12119078.430382799680,15342260.226256502323558304000000000000000000
2022-02-11T02:00:00+00:00,12123117.137049466347,15345555.854252927562249804000000000000000000
2022-02-11T03:00:00+00:00,12135676.410382799680,15345770.988146941262659704000000000000000000
2022-02-11T04:00:00+00:00,12137188.890382799680,15345770.988146941262659704000000000000000000
2022-02-11T05:00:00+00:00,12136728.450162659680,15352187.287949700502755204000000000000000000
2022-02-11T06:00:00+00:00,12137812.589155649680,15354025.340029214801159718000000000000000000
2022-02-11T07:00:00+00:00,12139792.350201181650,15354212.613129449879562818000000000000000000
2022-02-11T08:00:00+00:00,12140120.396554873767,15356328.056874846570039318000000000000000000
2022-02-11T09:00:00+00:00,12140941.270333758301,15356461.213450487686368518000000000000000000
2022-02-11T10:00:00+00:00,12142800.983505951870,15367433.785705276932781718000000000000000000
2022-02-11T12:00:00+00:00,,15369229.710313603666132915000000000000000000
2022-02-11T13:00:00+00:00,12142799.334503094143,15369306.942990683659326648000000000000000000
2022-02-11T14:00:00+00:00,12143134.818633558557,15369307.085092284037194417000000000000000000
2022-02-11T15:00:00+00:00,12153313.185719000664,15377138.807346996915766317000000000000000000
2022-02-11T16:00:00+00:00,12155533.340284183512,15377416.822672841596553017000000000000000000
2022-02-11T19:00:00+00:00,,15382370.622440173700963717000000000000000000
2022-02-11T21:00:00+00:00,12156733.340284183512,15382370.622440173700963717000000000000000000
2022-02-11T22:00:00+00:00,12157750.805019289779,15382370.622440173700963717000000000000000000
2022-02-11T23:00:00+00:00,12160421.216723719778,15382370.622440173700963717000000000000000000
2022-02-12T00:00:00+00:00,12160243.676723719778,15382613.337739224328675911000000000000000000
2022-02-12T01:00:00+00:00,12161349.973794837259,15382613.337739224328675911000000000000000000
2022-02-12T03:00:00+00:00,,15382613.337739224328675911000000000000000000
2022-02-12T05:00:00+00:00,12160950.522578354782,15387303.109759004053862511000000000000000000
2022-02-12T06:00:00+00:00,12162056.699025426407,15388125.278578484150315457000000000000000000
2022-02-12T07:00:00+00:00,12162078.839025426407,15389039.382205039028623644000000000000000000
2022-02-12T08:00:00+00:00,12162138.408936929445,15389100.851342171272068944000000000000000000
2022-02-12T09:00:00+00:00,12163458.930337699445,15389633.509308649792498444000000000000000000
