block_time,tornado_pool,torn_fee,fee_contract_address,gas_fee,additional_eth,relayers_fee,relayer,tx_hash
2022-03-02T10:40:00+00:00,10 ETH,2.369716088328076,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01318201287538682600,0,0.057693,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\x8d8cc8d6165b8de7ddee1be977983dbefdf2b2c0633f4f1c1596069245509a74
2022-03-02T10:30:00+00:00,10 ETH,2.380957418672309,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01448262119065363200,0,0.0540685,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\xdce9631a10d7580720deb241ec50b3b372832fb1f3d92a081ce42e45f0f00fa0
2022-03-02T10:30:00+00:00,1 ETH,0.23809574186723093,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01613122426786145400,0,0.025241,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\x95b5288cc18941bb60d03cceb17a2b98c88056018920df35065243f0ee13e987
2022-03-02T10:18:00+00:00,10 ETH,2.3856480254439436,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01441706024885290200,0,0.0580505,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\xe978b9b160e1774cece1d46415799f3340cb497c6f91f612a4a01ca51afbe9e1
2022-03-02T10:09:00+00:00,100 ETH,23.84232706069441,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01428063406946918000,0,0.388513,\x62e142f218585827436f59997c301f7040396ad4,\x08213a5808722d95f4687c988cf280bf4fa4f86b0a24d62c769e560aaa4c96b0
2022-03-02T09:59:00+00:00,1 ETH,0.23856449044585987,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01470987623157906600,0,0.019002,\x9f9f98e28456eeefc4af1c990a170e2b0d2d6027,\x11dbb023a708972554c4d24bbf11fcca1c1618cbdbf5c2402e48b5cb954462d3
2022-03-02T09:50:00+00:00,100 ETH,23.72793844521093,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01092314590415200600,0,0.069206,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x3f1c9f520f9607be2c538a4c4c2b83484f57ed4e78b0ebb28ce18340c5ef362d
2022-03-02T09:28:00+00:00,10 ETH,2.3852391073326245,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01201645752931727600,0,0.0574845,\xbe4d1e137a24af091be80ae58d652279665e3a27,\xaf7d2d52df83cfb83d1ac31843592424861604973ad8f157c71b2a183264460e
2022-03-02T08:50:00+00:00,10 ETH,2.3848326248671627,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01920870146574990600,0,0.060035,\xb326d1f0837e14ad265397800ef3bf7a538335e4,\xbded073342f1807421a700c0d1181577726cdf6354a1d32343c9d1333091f7e8
2022-03-02T08:50:00+00:00,10 ETH,2.3848326248671627,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02039295192067287000,0,0.05766,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x69efc6133828948342281e35f41e22631baebd35bfdf61064654b11185d875be
2022-03-02T08:48:00+00:00,10 ETH,2.3848326248671627,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01725978861816328800,0,0.060586,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x252fa9b647408cd7b2bd7aa1c84e26e6feab38ca5ee720a7892371fb9dfc1e24
2022-03-02T08:41:00+00:00,10 ETH,2.3822387267904506,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02156797251081196200,0,0.060684,\xb326d1f0837e14ad265397800ef3bf7a538335e4,\x39f8f8b62137d9e7ac8102710bec7fdde062be5e7aef159bb9c35f1ac9c46a1d
2022-03-02T08:18:00+00:00,10 ETH,2.373341307814992,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01622566365987510000,0,0.0645585,\x6a2d058890cca15beaee5050caaad56b2ab54dd4,\xc9f140445492d5f1923a47b2a8c28adfeb53710b35ede62f8c31636c7ae575ae
2022-03-02T07:22:00+00:00,10 ETH,2.386062801932367,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01899243397518965000,0,0.0772635,\xb5cd48dd89c063b5a3fe1bcc325364be62fc0f00,\xb78ef5ed3bf5e720959aa39bcbeb3f086889dd48308c469e84bfcb0c45488c48
2022-03-02T07:21:00+00:00,100 ETH,23.86062801932367,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01805104974011718400,0,0.4171205,\xa0f0287683e820ff4211e67c03cf46a87431f4e1,\x478843693dce6fb639401876236cc2cdd6caa2e1f9991f88bd9c08db72f5482e
2022-03-02T07:20:00+00:00,10000 DAI,0.8058880837359098,\x6b175474e89094c44da98b954eedeac495271d0f,0.01695442784226699800,0.00425920000000000000,109.62374045880772,\xd6187b4a0f51355a36764558d39b2c21ac12393d,\x75b28f9e3c813181144e7a79e1b7c902b69ef4bb9fe361ec1d9195aa74898cbf
2022-03-02T07:09:00+00:00,10 ETH,2.3826657754010694,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01577921726276721000,0,0.0599755,\xd6187b4a0f51355a36764558d39b2c21ac12393d,\x461e72f29daae51364aba01dd8165f064bd7f8639132196053854f2645239a70
2022-03-02T07:08:00+00:00,10 ETH,2.3826657754010694,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01814964595671949200,0,0.0613835,\xd6187b4a0f51355a36764558d39b2c21ac12393d,\x644150a0db25c07dcae2951049e205a34571532fed72f7cbc529f987078d0666
2022-03-02T07:03:00+00:00,1 ETH,0.23882182985553768,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01832327332887761400,0,0.0244945,\xb326d1f0837e14ad265397800ef3bf7a538335e4,\x7bb4f1e1115aa19b0fc5c1aec980e6c2473070a963c095b68e737a091dae0150
2022-03-02T07:03:00+00:00,10 ETH,2.388218298555377,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01743537866906143800,0,0.0543875,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x18c07f2485f10f20e3e7573059f304842625f314d73c42759f31b1228c0aac92
2022-03-02T07:00:00+00:00,1 ETH,0.23882182985553768,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01473010183061143200,0,0.026051,\xb326d1f0837e14ad265397800ef3bf7a538335e4,\xc716dc4211895d7a31926f101ba48548a5bb65ade15b00ef811382a34865d4ec
2022-03-02T07:00:00+00:00,10 ETH,2.388218298555377,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01364099742301107000,0,0.069265,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x9a35dae02da3e06ac7dda41c034eedee4a92e2c92071962a98138f51c9a2973b
2022-03-02T06:59:00+00:00,1 ETH,0.2387174959871589,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01482114455579910800,0,0.031594,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\xbdf5da83658dcb8facfc356762c676ed6222861b1b7fd5d09415764791c597a0
2022-03-02T06:52:00+00:00,10000 DAI,0.8011721377101682,\x6b175474e89094c44da98b954eedeac495271d0f,0.01286071437796370400,0.00400840000000000000,106.63442164124469,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\x67c491f102ced5dfb58a2b15f70b083644f0e6fb03781691de0b6bbb6229857a
2022-03-02T06:49:00+00:00,1 ETH,0.23875467164975972,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01285036962176819400,0,0.026864,\x078ad5db2151083ec16eca1b26e2c98f79034da8,\xdbd70621db40bb0c64f7c9c82c4c95416d56e52f0957b270ba6bbc2dc43f9dad
2022-03-02T06:44:00+00:00,10 ETH,2.385620165377434,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01743520139294345100,0,0.0591715,\xb326d1f0837e14ad265397800ef3bf7a538335e4,\xdc5d8256591e34df8b52da90e5cb945b34574b908226803a3cc2908e840af803
2022-03-02T06:38:00+00:00,10 ETH,2.389946638207044,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01629118066483615400,0,0.0708335,\x49136693081f2c18e2cf14428dd78cd90a22dc1f,\xe576f98819c68af6006f217a426fcc90f0ba039241d03bc7a9f476c836da24e4
2022-03-02T06:37:00+00:00,1 ETH,0.23899466382070442,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01832384405425827600,0,0.0295335,\x62e142f218585827436f59997c301f7040396ad4,\x125853ef50b79fd5ef469f311c8cb9185892032f40423d245a55c8f62d5c3fd3
2022-03-02T06:26:00+00:00,1 ETH,0.2382494680851064,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01159669296368352000,0,0.0275,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x38fe06692a1ac38669a76d52520f08b2d761915b5b5fee3198d8161ff187650b
2022-03-02T06:26:00+00:00,1 ETH,0.2382494680851064,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01195836575120565000,0,0.0275,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x6ae6e9f715f1c1cf2403304f5c688e4ed0251cbf65b124205da203cb77e5e7a1
2022-03-02T06:25:00+00:00,10 ETH,2.3813067729083666,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01252979669784650400,0,0.0516705,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\xfd25a1d4a1f56376db22203e30fe98d298ea202b23fc439ed8c33fb3a8f6c1fb
