hour,lusdDai,lusdUsdc,lusdUsdt,daiOut,usdcOut,usdtOut,lusdIn,daiIn,usdcIn,usdtIn,lusdOut
2021-11-11T13:00:00+00:00,0.99859312753455247161,0.99860226732964038671,0.99667266061090142291,149784.782091439300,717017.683270000000,0,-868017.092140495217,0,0,0,0
2021-11-11T14:00:00+00:00,0.99859312753455247161,0.99842157026579415479,0.99667266061090142291,0,10153.119877000000,0,-10169.171199193036,0,0,0,0
2021-11-11T17:00:00+00:00,0.99859312753455247161,0.99838281206382261011,0.99667266061090142291,0,149753.344640000000,0,-149995.916226196880,0,0,0,0
2021-11-11T18:00:00+00:00,0.99859312753455247161,0.99833905239687125026,0.99667266061090142291,0,99831.044353000000,0,-99997.134353624396,0,0,0,0
2021-11-11T21:00:00+00:00,0.99859312753455247161,0.99826474035246898098,0.99667266061090142291,0,325196.287223000000,0,-325761.568126887014,0,0,0,0
2021-11-12T01:00:00+00:00,0.99834422847852276290,0.99826474035246898098,0.99667266061090142291,60838.055275816588,0,0,-60938.956264147310,0,0,0,0
2021-11-12T03:00:00+00:00,0.99834422847852276290,0.99814746065000000000,0.99667266061090142291,0,199629.492130000000,0,-200000.000000000000,0,0,0,0
2021-11-12T06:00:00+00:00,0.99834422847852276290,0.99807792536064964611,0.99667266061090142291,0,199625.091831000000,0,-200009.525066759327,0,0,0,0
2021-11-12T07:00:00+00:00,0.99834422847852276290,1.00089297444338498108,1.0004755819936670,0,1742202.024518000000,0,-1740647.670633186966,0,0,10000000.000000000000,-9995246.440770505552
2021-11-12T08:00:00+00:00,0.99834422847852276290,1.00088444290077713922,1.0004755819936670,0,251880.799591000000,0,-251658.222262897385,0,0,0,0
2021-11-12T09:00:00+00:00,1.00096031560263538726,1.00088444290077713922,1.0004755819936670,125935.235777498384,0,0,-125814.414232474507,0,0,0,0
2021-11-12T10:00:00+00:00,1.00096031560263538726,1.00074157304525856956,1.0004755819936670,0,317482.100463000000,0,-317246.838758683069,0,0,0,0
2021-11-12T11:00:00+00:00,1.00073207544921131771,1.00063945455927657099,1.0004755819936670,866.8472206325067333,265436.822664000000,0,-266133.4094331676306858,0,0,0,0
2021-11-12T12:00:00+00:00,1.00011361485275556944,1.00037133064311428367,1.0003576198057348,72008.180269398401,2205802.140313000000,20006.612203000000,-2296982.822422975181,0,0,0,0
2021-11-12T15:00:00+00:00,1.00156869540362861438,1.00037133064311428367,1.00113139724915237063,0,0,0,0,1.00000000000000000000,0,201000.000000000000,-200773.84458791824243291400
2021-11-12T16:00:00+00:00,0.99937215961634660203,1.00050144071641563016,1.00113139724915237063,116882.467432866403,5576585.874771000000,0,-5693052.724688815107,0,1987303.569871000000,0,-1984001.675811603283
2021-11-13T07:00:00+00:00,0.99937215961634660203,0.99940925036363636364,1.00113139724915237063,0,54967.508770000000,0,-55000.000000000000,0,0,0,0
2021-11-13T08:00:00+00:00,0.99937215961634660203,0.99916571028650263451,1.00113139724915237063,0,1099054.796476000000,0,-1099972.492211382017,0,0,0,0
2021-11-13T09:00:00+00:00,0.99937215961634660203,0.99894084122821035909,0.99878121201642986345,0,169815.618494000000,29962.652036000000,-199994.885618415345,0,0,0,0
2021-11-13T10:00:00+00:00,0.99937215961634660203,0.99894084122821035909,0.99877265808658086581,0,0,22194.726008000000,-22222.000000000000,0,0,0,0
2021-11-13T11:00:00+00:00,0.99937215961634660203,0.99887526001708878536,0.99877265808658086581,0,124768.992596000000,0,-124909.483286096653,0,0,0,0
2021-11-13T12:00:00+00:00,0.99899655084001709659,0.99887526001708878536,0.99877265808658086581,168826.196031836625,0,0,-168995.774700000000,0,0,0,0
2021-11-13T13:00:00+00:00,0.99894464061836333559,0.99880248020073040882,0.99877265808658086581,132239.272323444580,6300.9266760000000000,0,-138687.4609287741679161,0,0,0,0
2021-11-13T14:00:00+00:00,0.99892380509635683877,0.99880248020073040882,0.99877265808658086581,34961.334254567393,0,0,-34999.000000000000,0,0,0,0
2021-11-13T18:00:00+00:00,0.99892380509635683877,1.0001228921588688,0.99877265808658086581,0,0,0,0,0,860000.000000000000,0,-859894.325729912038
2021-11-13T19:00:00+00:00,0.99892380509635683877,0.99901420046042352374,0.99877265808658086581,0,868265.832141000000,0,-869122.612812546112,0,0,0,0
2021-11-13T20:00:00+00:00,0.99892380509635683877,0.99880422916000951886,0.99862028023575296179,0,405063.607145000000,9985.9303250000000000,-415548.2774218006630927,0,0,0,0
2021-11-13T21:00:00+00:00,0.99892380509635683877,0.99987581981033923212,0.99862028023575296179,0,12985.171246000000,0,-12999.646935098910,0,600000.000000000000,0,-600061.654379572023
