owner,contract,collateral,debt,collateralRatio,lastModified
0x643e129a76b11813d5da23dfa4cd9d1130cea861,no,3.0000000000000000,8641.9657887896944834,1.3409865629221618,2021-11-19T09:05:33+00:00
0xc21772c1e39c9dae79f98f7e21471d6681e1335c,no,3.0000000000000000,3215.0020266049930250,3.604588707596432,2021-06-11T05:32:44+00:00
0x6134677bfae11554639ba6798de3b272cf8d92cc,no,3.0000000000000000,8219.8302404179802074,1.4098539338460485,2021-11-24T00:29:58+00:00
0xe4bf0e349e91a2aa9c4a0f698f6e512d42bea971,no,2.9777011873562277,5225.0273112262444800,2.2014471476442115,2021-11-24T05:53:20+00:00
0x0d5ccaa3071521d3750f5e3735928263eca61a92,no,2.9000000000000000,3215.0064712128798920,3.4844309335942962,2021-08-12T18:28:26+00:00
0xb884f2fe0d515c82d07c4e9b1e9f75064d079b2b,no,2.9000000000000000,5225.0042901229057400,2.1440112539575518,2021-09-24T12:21:44+00:00
0x27816d237c638f9f21b6424aae98acaa0ef5f4a3,no,2.9000000000000000,2210.0483357682033380,5.068879181823899,2021-06-24T04:42:06+00:00
0xc430d3e32c0800b5e745f1e8255b060b3b732977,no,2.8071000000000000,3215.0091069247085720,3.3728062258499674,2021-06-01T21:15:14+00:00
0x916134e688a4a866ff57f4f53f16703f9b8afa99,no,2.8000000000000000,4018.9659760792836721,2.691283296344738,2021-09-23T06:46:13+00:00
0xc77ec095a4f8adf7c5dd26ba43c97de557d5cf16,no,2.8000000000000000,4220.0028272149008360,2.56307316436999,2021-09-12T14:34:09+00:00
0x23049a681b570a75d20500974eb066137bfcf154,no,2.8000000000000000,4722.5427878870792300,2.290328851597189,2021-10-18T12:05:17+00:00
0x83b2c611b22529599b7b0753f94693a359537b3e,no,2.7500000000000000,3416.2185774572860704,3.1095873285446483,2021-10-15T20:12:17+00:00
0x9e9ed5ed1fb9687879fbee5f290026814bd40e3f,no,2.7500000000000000,2009.0156757021164954,5.287679000457492,2021-05-29T02:54:39+00:00
0xe1eb1af9f68e151871c6417258884885d215273b,no,2.7458874814029741,7467.0401850059079892,1.4205285369912315,2021-10-17T17:02:15+00:00
0x33e75b0823a1beba5635fccb76973bed898ad48a,no,2.7274766371488105,6531.5634655641370814,1.6130937265974916,2021-10-08T14:24:25+00:00
0x200db79f041907ace0592ae8804620c3668d5bdb,no,2.7000000000000000,5225.0242896604346150,1.9961407683097718,2021-12-15T09:30:43+00:00
0x6908973ad117379ad483eb08c6b038403fc5a501,no,2.7000000000000000,4800.0000000000000000,2.1728925,2021-12-08T16:23:33+00:00
0x3a778cd12f244273b3e27d2e76be71fc33157deb,no,2.7000000000000000,7235.1910839142179870,1.4415492112141235,2021-12-01T17:35:42+00:00
0x3ba6eb0e4327b96ade6d4f3b578724208a590cef,no,2.6800000000000000,4370.6983912543712780,2.3686433318563633,2021-12-14T19:43:55+00:00
0x5a7052f93f0897b3f2cec8178de4d3ea6df5fce3,no,2.6000000000000000,5209.8846166066887934,1.9277954770794157,2021-12-03T00:46:04+00:00
0x0ea6c47fd09a91298961d363dbb078f6d58abb86,yes,2.6000000000000000,7537.6242670920000485,1.3324612164403888,2021-11-30T00:55:42+00:00
0x8b0fd6484dc29691f1c9216e256945925092ac15,no,2.5930000000000000,5728.3586390267362655,1.7485901618935369,2021-08-09T01:14:18+00:00
0x2500214f8c6ad68e9314e3f74a91f28789b24a70,no,2.5600000000000000,5982.0958880275726451,1.6531121174088441,2021-10-15T12:26:43+00:00
0x0166bdd85e32176205d0873271cf2049dea1cb82,yes,2.5246757618437720,2000.0000000000000000,4.876310246970772,2021-07-04T22:43:33+00:00
0x5e53ce97fcd3abe46f1ab45abb3e9a9c5e19f193,no,2.5000000000000000,2712.5267291079227975,3.5602598479005687,2021-06-06T21:28:21+00:00
0xdec08cb92a506b88411da9ba290f3694be223c26,no,2.5000000000000000,5225.0069734143124050,1.8482846145733234,2021-09-12T02:38:52+00:00
0x6db51884faa422d4c7826ff55e9ed0b1167c3afb,no,2.5000000000000000,2210.2966748929362220,4.369232469875469,2021-05-27T00:31:22+00:00
0x819dcc3c4f25463d879249828bf4f700201ccbfb,no,2.5000000000000000,2210.0060258142979160,4.369807089752923,2021-06-09T12:48:45+00:00
0x81fab12449d002bd42d70ebefef9f5311cc90bd6,no,2.5000000000000000,2210.0523862633422980,4.3697154239534255,2021-05-30T02:29:50+00:00
0xf093f79a4b65d84d1628dc041af67bbbd227d9a1,no,2.5000000000000000,2000.0000000000000000,4.82865,2021-05-31T01:14:49+00:00
0xf21146d2e58d43b4f7a5d53af8e5e0f1d88141c8,no,2.5000000000000000,3416.0392530293887296,2.827045968934865,2021-11-18T10:28:05+00:00
0x8c1475bdfaa9c9916d7debf166ffd0cdbfe50869,no,2.5000000000000000,3214.9895361620734431,3.0038355930478393,2021-07-09T23:51:54+00:00
0xcbf5930bf2a2776f76d8d21818b2832026f4fd55,no,2.5000000000000000,4209.9112789087557063,2.2939438292636067,2021-07-27T19:54:50+00:00
0xae1692d8d045716c948b707550e91dbd2c55169a,no,2.5000000000000000,3154.2299370243612423,3.061698161773998,2021-08-19T11:10:27+00:00
0x0f1020dd3bf19518cb836b6107403ab19d3c4edf,no,2.5000000000000000,2001.0049771271175794,4.826224877194047,2021-06-25T13:13:50+00:00
0x05fa0b1b055c43f06ce3dd20793b4d89f1b0720b,yes,2.5000000000000000,2210.0048822365134880,4.369809350930873,2021-04-29T03:24:43+00:00
0x73b8d046495a7152857824e57c94a9137f1db54d,no,2.4800000000000000,2224.9999625599246283,4.305636746608254,2021-06-15T09:07:45+00:00
0xda603487d8a7f1c410743871507051880538863f,no,2.3714000000000000,2211.7098687932658820,4.141830995671276,2021-05-22T09:44:24+00:00
0x61c1c0fcf49fc75ea9c3f272cafeac7d3abf4eeb,no,2.3400000000000000,3656.1645163799574806,2.4723266033307296,2021-12-15T00:15:13+00:00
0xe790ac38f7fa2b038be1a415f7f25ef47fd2cf64,no,2.3000000000000000,2561.7529809863594065,3.4682172972739513,2021-08-20T22:00:51+00:00
0xbb77250a82d20921327a3f326e5a24cb96acb5e5,no,2.3000000000000000,3250.0000000000000000,2.733758769230769,2021-09-12T11:27:33+00:00
0x3a1d6ac7dfce26c3041c8c7a77efec638f07e257,no,2.3000000000000000,4722.4806680583232910,1.8813663039626598,2021-09-21T10:48:25+00:00
0xf47c4e1f14381a5d5c5bc33b7a1c2b9852ad1f7d,no,2.2501762406872176,2000.0000000000000000,4.3461254018377335,2021-07-02T12:48:54+00:00
0x21aa10ff06a366b642d034a6a0fcb1d88b9e804c,no,2.2500000000000000,2250.2007067513101831,3.8625754466801805,2021-07-28T09:16:16+00:00
0x97008bf239ff30cfe34e51627efd538740278529,no,2.2000000000000000,2210.0169214156531300,3.8454112806322915,2021-05-31T00:15:24+00:00
0x52f0934b353b2b386f05e2414379a35b0fd8e943,no,2.2000000000000000,2913.5826895367269465,2.9168295207544936,2021-07-07T12:16:47+00:00
0x1a57f05d5c61ac8610eda9ccddce882b63ce2bee,no,2.2000000000000000,3215.0058858802249310,2.6433618791566373,2021-08-20T14:23:13+00:00
0x3b60f8b2f83e26de0eb3eebc4ca034052546f9a7,no,2.1500000000000000,5325.5509823157720881,1.5595152553376774,2021-10-18T11:12:22+00:00
0x0b2b1beaf4a1fb7ed8791d845310912759995483,no,2.1225000000000000,4923.4646591590038932,1.6653004068481545,2021-10-24T17:21:42+00:00
0xcea05a02066492b8b9546665a90afef4e55b8fe5,no,2.1202000000000000,2411.0178933754804992,3.3969731234692677,2021-05-29T04:07:55+00:00
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,no,2.1000000000000000,2211.0147734705197613,3.6689632730344854,2021-06-21T23:07:17+00:00
0x94b36fe4816106c8bbd93ef95bcb75ef0871fe2c,no,2.0900000000000000,2768.8493733667751175,2.9158331535323083,2021-07-07T12:18:36+00:00
0xf5a0550e91527092ddad7d0fa2e68ba58e24ace9,no,2.0598256186734000,2439.8222801398264363,3.2612791692474574,2021-11-02T06:44:41+00:00
0x8261d14cc0908808f18c77e2c766bb37adf53eed,no,2.0000000000000000,2009.0097627241398140,3.8455960460461176,2021-06-30T09:06:17+00:00
0xddbe1a2c4e5579c5371100cabe034691a5df6a87,no,2.0000000000000000,3772.0600000000000000,2.0481752676256475,2021-12-14T01:55:30+00:00
0xb71d05cf5cdf7a9b15b20b9aab5e91332c271c96,no,2.0000000000000000,2009.0014483785547088,3.8456119612235473,2021-07-04T09:28:51+00:00
0x4ce9051f98bb3055f5e407579c20d4379fb38873,no,2.0000000000000000,3215.0121993377469320,2.4030515347939985,2021-08-15T21:22:17+00:00
0x6cf8118892209d3975c9a03f06f7c11163be2ff8,no,2.0000000000000000,5225.0035137123568450,1.478628670722329,2021-12-09T07:44:55+00:00
0xe5cd86ff7f825a0ff6f699828d5c9bf163c0e3f9,no,2.0000000000000000,3013.9817994434598275,2.563333329161642,2021-08-14T08:07:26+00:00
0xdfbca62b0d9d7c90a9192674d715e33683551ac7,yes,2.0000000000000000,2713.0052305181641350,2.8477055307867656,2021-11-14T00:11:43+00:00
0xc5b1ad5ed432df0ad6a4dada81e2a7bfacd199a9,no,2.0000000000000000,5225.0031984858587600,1.4786287599285783,2021-11-21T00:25:42+00:00
0x0ddbdef89e42fa1bfa468ce1361cb6959f15302d,no,2.0000000000000000,2712.5000362943259250,2.848235906589935,2021-09-27T15:08:42+00:00
0x0ff8394708fb550bafdab40efd264ffd3e95a54c,no,2.0000000000000000,2017.7101141712081768,3.829013863655759,2021-11-03T11:54:50+00:00
0xc790fd5896132c9fa0c18c43c37f601089d5e132,no,2.0000000000000000,3000.0000000000000000,2.5752800000000002,2021-11-09T10:41:05+00:00
0xb1a303e0b10278cf3845d81669f0f85077111ded,no,2.0000000000000000,2200.0000000000000000,3.511745454545455,2021-04-05T14:19:37+00:00
0xbd322f7b485fe4ccf1eac91f915525e332345b64,no,2.0000000000000000,4220.6418251326069760,1.8304893710703027,2021-10-22T02:52:04+00:00
