day,revenues,cumulative_revenues
2021-04-21T00:00:00+00:00,,
2021-04-22T00:00:00+00:00,0.5432000334990055,0.5432000334990055
2021-04-23T00:00:00+00:00,2.293402502062824,2.8366025355618296
2021-04-24T00:00:00+00:00,6.8125768067864385,9.649179342348269
2021-04-25T00:00:00+00:00,3.313483131211575,12.962662473559844
2021-04-26T00:00:00+00:00,7.684927902166104,20.647590375725947
2021-04-27T00:00:00+00:00,0.45022726624471915,21.097817641970668
2021-04-28T00:00:00+00:00,9.761256101385802,30.85907374335647
2021-04-29T00:00:00+00:00,6.804252391870295,37.66332613522676
2021-04-30T00:00:00+00:00,16.350225621085645,54.01355175631241
2021-05-01T00:00:00+00:00,2.3507675386394413,56.36431929495185
2021-05-02T00:00:00+00:00,1.3472213412091374,57.71154063616098
2021-05-03T00:00:00+00:00,9.0534060252147,66.76494666137569
2021-05-04T00:00:00+00:00,12.031006553705344,78.79595321508103
2021-05-05T00:00:00+00:00,3.8870534500635006,82.68300666514453
2021-05-06T00:00:00+00:00,8.316375885856951,90.99938255100149
2021-05-07T00:00:00+00:00,16.779953393874766,107.77933594487625
2021-05-08T00:00:00+00:00,4.319356993877798,112.09869293875406
2021-05-09T00:00:00+00:00,6.239788588370438,118.33848152712449
2021-05-10T00:00:00+00:00,10.458867485799757,128.79734901292426
2021-05-11T00:00:00+00:00,46.65432228281764,175.4516712957419
2021-05-12T00:00:00+00:00,263.1563860861313,438.6080573818732
2021-05-13T00:00:00+00:00,794.5985958454606,1233.2066532273338
2021-05-14T00:00:00+00:00,730.9405268720368,1964.1471800993706
2021-05-15T00:00:00+00:00,715.9769111531408,2680.1240912525113
2021-05-16T00:00:00+00:00,1964.983559954438,4645.107651206949
2021-05-17T00:00:00+00:00,2680.146339688792,7325.2539908957415
2021-05-18T00:00:00+00:00,1331.2740396834195,8656.52803057916
2021-05-19T00:00:00+00:00,7482.281985554689,16138.810016133848
2021-05-20T00:00:00+00:00,4062.474588044324,20201.28460417817
2021-05-21T00:00:00+00:00,3250.5897912705004,23451.87439544867
2021-05-22T00:00:00+00:00,3114.2614331844125,26566.135828633083
2021-05-23T00:00:00+00:00,8492.26552761564,35058.40135624872
2021-05-24T00:00:00+00:00,20256.748206505967,55315.14956275469
2021-05-25T00:00:00+00:00,19718.999771300663,75034.14933405536
2021-05-26T00:00:00+00:00,13894.119641390564,88928.26897544591
2021-05-27T00:00:00+00:00,8813.729812893374,97741.99878833929
2021-05-28T00:00:00+00:00,17566.87657496665,115308.87536330594
2021-05-29T00:00:00+00:00,15203.00720670816,130511.8825700141
2021-05-30T00:00:00+00:00,9795.978360255245,140307.86093026935
2021-05-31T00:00:00+00:00,11722.175567487551,152030.0364977569
2021-06-01T00:00:00+00:00,10756.741791955132,162786.77828971203
2021-06-02T00:00:00+00:00,6635.319927250389,169422.09821696242
2021-06-03T00:00:00+00:00,9643.784530220903,179065.88274718332
2021-06-04T00:00:00+00:00,13969.348921361647,193035.23166854496
2021-06-05T00:00:00+00:00,10812.75800695963,203847.9896755046
2021-06-06T00:00:00+00:00,6899.292753891191,210747.2824293958
2021-06-07T00:00:00+00:00,16837.137241789784,227584.41967118558
2021-06-08T00:00:00+00:00,39951.235689909714,267535.65536109527
2021-06-09T00:00:00+00:00,38704.52131803642,306240.1766791317
2021-06-10T00:00:00+00:00,28715.7882550903,334955.964934222
2021-06-11T00:00:00+00:00,40587.89678578159,375543.8617200036
2021-06-12T00:00:00+00:00,29812.23013400192,405356.0918540055
2021-06-13T00:00:00+00:00,41528.14765835713,446884.23951236263
2021-06-14T00:00:00+00:00,32017.028357798965,478901.2678701616
2021-06-15T00:00:00+00:00,29103.773870919256,508005.0417410809
2021-06-16T00:00:00+00:00,30708.223035516763,538713.2647765976
2021-06-17T00:00:00+00:00,25265.713267009964,563978.9780436076
2021-06-18T00:00:00+00:00,44315.03146517607,608294.0095087836
2021-06-19T00:00:00+00:00,30753.6347470001,639047.6442557836
2021-06-20T00:00:00+00:00,45462.00474418813,684509.6489999718
2021-06-21T00:00:00+00:00,148500.63243531785,833010.2814352897
2021-06-22T00:00:00+00:00,178095.0422565032,1011105.3236917928
2021-06-23T00:00:00+00:00,69994.53326489874,1081099.8569566915
2021-06-24T00:00:00+00:00,51800.192297144495,1132900.049253836
2021-06-25T00:00:00+00:00,98724.56822320976,1231624.6174770459
2021-06-26T00:00:00+00:00,77388.8256955018,1309013.4431725477
2021-06-27T00:00:00+00:00,58911.35903555418,1367924.8022081018
2021-06-28T00:00:00+00:00,96637.70859973572,1464562.5108078376
2021-06-29T00:00:00+00:00,71309.65965440235,1535872.17046224
2021-06-30T00:00:00+00:00,82621.41651030348,1618493.5869725435
2021-07-01T00:00:00+00:00,81368.51734709684,1699862.1043196404
2021-07-02T00:00:00+00:00,63048.757946633785,1762910.8622662742
2021-07-03T00:00:00+00:00,44829.886236026374,1807740.7485023006
2021-07-04T00:00:00+00:00,63131.047867762405,1870871.796370063
2021-07-05T00:00:00+00:00,95461.86701112227,1966333.6633811851
2021-07-06T00:00:00+00:00,90176.31621260363,2056509.9795937887
2021-07-07T00:00:00+00:00,53905.86330206326,2110415.842895852
2021-07-08T00:00:00+00:00,82053.71565986393,2192469.5585557157
2021-07-09T00:00:00+00:00,93298.39408366139,2285767.952639377
2021-07-10T00:00:00+00:00,57807.80604314797,2343575.7586825253
2021-07-11T00:00:00+00:00,38566.65191298868,2382142.410595514
2021-07-12T00:00:00+00:00,65745.63676197307,2447888.047357487
2021-07-13T00:00:00+00:00,68200.22846378689,2516088.275821274
2021-07-14T00:00:00+00:00,74183.39826859497,2590271.674089869
2021-07-15T00:00:00+00:00,85597.39467383591,2675869.068763705
2021-07-16T00:00:00+00:00,73875.76180143515,2749744.83056514
2021-07-17T00:00:00+00:00,58971.54666026238,2808716.3772254023
2021-07-18T00:00:00+00:00,66000.16393610323,2874716.5411615055
2021-07-19T00:00:00+00:00,53156.552164005516,2927873.093325511
2021-07-20T00:00:00+00:00,91999.56102209275,3019872.6543476037
2021-07-21T00:00:00+00:00,104446.27595092785,3124318.9302985314
2021-07-22T00:00:00+00:00,69705.85488531081,3194024.7851838423
