address,name,stakedLQTY,heldLQTY,totalLQTY
0xb8a9fada75c6d891fb77a7988ff9bad9e485ca1c,Treasury Multisig,,37981816.66666666666700000000,37981816.66666666666700000000
0xd8c9d9071123a059c6e0a945cf0e0c82b508d816,Stability Pool,,20142065.939173475510887384000000000000000000,20142065.939173475510887384000000000000000000
0xfee47986a4b9083d7db1829beed6f88a91dd4338,Lockup Contract,,9843750.000000000000,9843750.000000000000
0x060952b3b1a3818d8917a03c43fa67bb6a15a2b2,Lockup Contract,,3728050.000000000000,3728050.000000000000
0x770638e0cd8781dd4b64e3a4cad06113b6eefcca,Lockup Contract,,2276786.000000000000,2276786.000000000000
0x3ddfa8ec3052539b6c9549f12cea2c295cff5296,,1953817.375651881528,147187.946309379366530900000000000000000000,2101005.321961260894530900000000000000000000
0xd20ac7e897b8e54df47d0a491b791c33193ce535,Lockup Contract,,1919643.000000000000,1919643.000000000000
0xf06016d822943c42e3cb7fc3a6a3b1889c1045f8,Community Reserve Multisig,,1697675.9045701483314449,1697675.9045701483314449
0x3a287bbd3d6ebb85265266fc7ad08138627bc2d2,Lockup Contract,,1656650.000000000000,1656650.000000000000
0x025baf9ba5dace8367c70cad0b44b728edba5449,Lockup Contract,,1562500.000000000000,1562500.000000000000
0x2e00a841f3d9af5c1c8f931640d268144d6a8193,Lockup Contract,,857140.000000000000,857140.000000000000
0x28a21d4f9c6c2c63d838ddb5dc9776413b0c2376,,828018.904385564209,-0.000000000000457300000000000000000000,828018.904385564208542700000000000000000000
0xf30026fe8a2c0d01b70b1949ceaf2e09efd8b4a5,,750000.000000000000,0.00000000000000000000,750000.00000000000000000000
0xd651d97fdaf2323fc738827544eb7c91368f2bca,Lockup Contract,,625000.000000000000,625000.000000000000
0x68ccd86440f58109cd964fec1a641ba7a6825b90,Lockup Contract,,557140.000000000000,557140.000000000000
0x2291f52bddc937b5b840d15e551e1da8c80c2b3c,,459192.770000000000,0.004988486731846200000000000000000000,459192.774988486731846200000000000000000000
0x241ad9dfc7466c5299d622df7664b71ab60fe8d6,Lockup Contract,,400000.000000000000,400000.000000000000
0x03ea45698a3ec2ff2d84bab1f0bcfa0d03d068d1,,386363.560000000000,0.00000000001200000000,386363.56000000001200000000
0x012144ba349d6ae5b68581b29ea4d42b1f43fdb7,,381521.753794778168,0.000000000000028100000000000000000000,381521.753794778168028100000000000000000000
0x2f3be49022b5944ea3f6050a3b5b415c3f307b78,Lockup Contract,,357140.000000000000,357140.000000000000
0xc1d71192bdfa2ebc99c9b982f3c7c0fa9ef3ac4a,Lockup Contract,,357140.000000000000,357140.000000000000
0x4757f4e5f76fe3369843770d1090ef4f60e7a92c,Lockup Contract,,357140.000000000000,357140.000000000000
0x997ad8f2dd7a46de02a4aa92336de7513b9d78ec,Lockup Contract,,357140.000000000000,357140.000000000000
0x036a3ccedca822c59e57ce16f28c0c3c417359e4,Lockup Contract,,329590.000000000000,329590.000000000000
0x57ca561798413a20508b6bc997481e784f3e6e5f,,257490.430000000020,0.002522308235693700000000000000000000,257490.432522308255693700000000000000000000
0xe9be525b40578fa33ab723d458f6af9fda530662,,246403.704538172974,-0.000000000000155119000000000000000000,246403.704538172973844881000000000000000000
0x5dd96e7b8a95ed422d438a77756ea83b0fc70bb5,,,227272.799999999988,227272.799999999988
0x0e104e6e59f6b89a58ca01edf61c72fe1619a6c9,,201400.110000000000,1285.658530978256879400000000000000000000,202685.768530978256879400000000000000000000
0xba4a395251dbeb49a17ba0d09eab6cb3f55752f9,,,190480.000000000000,190480.000000000000
0x31bb5b1655df3cb645d17c62b96b91e01159ce2d,Lockup Contract,,187500.000000000000,187500.000000000000
0xe05fd1304c1cfe19dcc6aab0767848cc4a8f54aa,,185147.575512423790,0.000000000000053200000000000000000000,185147.575512423790053200000000000000000000
