cr,coll
120.0,337.27442052091821180000
130.0,5963.48277105483028632800
140.0,69872.61338574476956170000
150.0,9394.15301703814090900000
160.0,8358.34529991670488703400
170.0,5581.20370053297536990000
180.0,30106.36581631485255660000
190.0,10451.88736934489199287200
200.0,11075.3558855912953242
210.0,4727.9563522587343005
220.0,19380.3006456866797801
230.0,85182.5125107378309153
240.0,5335.3023273130036468
250.0,16064.5765679863413143
260.0,47055.0662203928563754
270.0,8161.8772269831573069
280.0,4822.1963298988246083
290.0,3108.8647543469622110
300.0,715.5420262234696793
310.0,16605.8068904859695654
320.0,11852.8705313453481773
330.0,2108.0706291258045131
340.0,15191.3278163116856420
350.0,529.7646720775421580
360.0,1701.6796819137515431
370.0,11047.5068833859162037
380.0,8342.3619520696919249
390.0,4536.9328541132709691
400.0,9577.3303894109919445
410.0,781.1154177120615713
420.0,20394.0009000000000000
430.0,525.0543700321432342
440.0,440.0730143492650741
450.0,657.5048774673979060
460.0,57.5180184446456170
470.0,169.7904000000000000
480.0,1246.1130000000000000
490.0,265.3062436993785794
500.0,17.0000000000000000
510.0,2052.5228000000000000
520.0,3551.0000000000000000
530.0,5316.3783000000000000
540.0,44.0000000000000000
550.0,220.0000000000000000
560.0,4.6000000000000000
570.0,135.0582000000000000
580.0,62.0000000000000000
590.0,348.4496742690093139
600.0,13.1000000000000000
610.0,7.0000000000000000
620.0,106.0000000000000000
630.0,18.0000000000000000
640.0,154.0000000000000000
650.0,220.0000000000000000
660.0,1073.5000000000000000
670.0,19.5009859709810803
680.0,5.0000000000000000
690.0,13.2166663317456356
700.0,8.0000000000000000
710.0,9.5000000000000000
730.0,107.3455027432313101
740.0,8.0000000000000000
750.0,16.0000000000000000
760.0,196.0000000000000000
770.0,20.0000000000000000
800.0,5.0000000000000000
830.0,15.0000000000000000
850.0,420.0000000000000000
870.0,5.0000000000000000
880.0,5.0000000000000000
890.0,24000.003676471769
910.0,7.0000000000000000
920.0,4.7526000000000000
940.0,97.5000000000000000
950.0,5.4000000000000000
970.0,10.0000000000000000
