hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-04-05T08:00:00+00:00,15.0000000000000000,,0,
2021-04-05T09:00:00+00:00,25.000000000000000000000000000000000000,10.000000000000000000000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T10:00:00+00:00,25.000000000000000000000000000000000000,10.000000000000000000000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T11:00:00+00:00,33.955223880597014900000000000000000000,10.000000000000000000000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T13:00:00+00:00,44.455223880597014900000000000000000000,10.000000000000000000000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T14:00:00+00:00,83974.947761194029323300000000000000000000,62840.471223276748894700000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T15:00:00+00:00,170197.485089552237571800000000000000000000,147027.979179364683910700000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T16:00:00+00:00,230424.145238805969133700000000000000000000,156454.174155640943588500000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T17:00:00+00:00,277809.563701492536297600000000000000000000,224985.906878132463002500000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T18:00:00+00:00,391703.216512437809825400000000000000000000,250971.336068290556906963000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T19:00:00+00:00,431887.758800995023755500000000000000000000,272808.519813822009650863000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T20:00:00+00:00,478441.840890547262611000000000000000000000,412331.774738483933363609000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T21:00:00+00:00,505605.865766169153158300000000000000000000,444968.742331156655706947000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T22:00:00+00:00,515438.771238805969078600000000000000000000,459689.954138034430625347000000000000000000,0,0.000000000000000000000000000000000000
2021-04-05T23:00:00+00:00,576724.855815920397138300000000000000000000,464333.011899439421492999000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T00:00:00+00:00,621382.398104477610571200000000000000000000,483420.759736793079451033000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T01:00:00+00:00,661211.789149253730108600000000000000000000,533273.649105246272211654000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T02:00:00+00:00,808256.565268656714929300000000000000000000,556617.153920907956145517000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T03:00:00+00:00,833262.097656716416561200000000000000000000,575583.179407791145431617000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T04:00:00+00:00,855917.421039800993675500000000000000000000,585860.608953260464747165000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T05:00:00+00:00,970436.365567164178446673000000000000000000,617196.673305162032420001000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T06:00:00+00:00,977136.196412935322725173000000000000000000,643168.524833139263303760000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T07:00:00+00:00,988821.708850746267998773000000000000000000,659307.123152994989276789000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T08:00:00+00:00,999195.912830845770486373000000000000000000,680444.503767073319093589000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T09:00:00+00:00,1007513.649149253730685373000000000000000000,696084.859423123226896475000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T10:00:00+00:00,1025326.833228855720735073000000000000000000,754255.987786222106414933000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T11:00:00+00:00,1029996.236213930347600773000000000000000000,761949.065102203567329063000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T12:00:00+00:00,1042517.529746268656058373000000000000000000,939045.526442418182139034000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T13:00:00+00:00,1045367.310840796019242373000000000000000000,950993.869636678001101560000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T14:00:00+00:00,1049024.027258706467003573000000000000000000,958956.221363337671529260000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T15:00:00+00:00,1071900.930741293531839473000000000000000000,960513.040058498590303360000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T16:00:00+00:00,1103874.065069651741003773000000000000000000,970533.548054845986081460000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T17:00:00+00:00,1112128.045169154228565873000000000000000000,979032.109535062138989154000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T18:00:00+00:00,1134973.318800995024585773000000000000000000,987164.341043922405739554000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T19:00:00+00:00,1137878.841189054726078273000000000000000000,1003156.560012052988287854000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T20:00:00+00:00,1141783.318800995024585673000000000000000000,1042915.722294318405435354000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T21:00:00+00:00,1145441.030243781094237373000000000000000000,1061125.458240440338467154000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T22:00:00+00:00,1145490.781487562188764773000000000000000000,1066444.548089027269147654000000000000000000,0,0.000000000000000000000000000000000000
2021-04-06T23:00:00+00:00,1150512.672034825870356773000000000000000000,1076064.827880237813765854000000000000000000,0,0.000000000000000000000000000000000000
2021-04-07T00:00:00+00:00,1153351.975517412935033373000000000000000000,1077188.188400509516917011000000000000000000,0,0.000000000000000000000000000000000000
2021-04-07T01:00:00+00:00,1204046.527756218904690073000000000000000000,1087841.302159744128444811000000000000000000,0,0.000000000000000000000000000000000000
2021-04-07T02:00:00+00:00,1205905.234223880596232373000000000000000000,1097386.503553198273855668000000000000000000,0,0.000000000000000000000000000000000000
