hour,lusdIn,lusdOut,virtualLiquidity
2021-12-03T21:00:00+00:00,1224.2039634443571531,-41305.192182999998,95601.282434623471
2021-12-03T22:00:00+00:00,,,95601.282434623471
2021-12-03T23:00:00+00:00,166420.661990078952,-98123.056130367967,84499.117463627097
2021-12-04T00:00:00+00:00,,,84499.117463627097
2021-12-04T01:00:00+00:00,,,84499.117463627097
2021-12-04T02:00:00+00:00,,,84499.117463627097
2021-12-04T03:00:00+00:00,,,84499.117463627097
2021-12-04T04:00:00+00:00,299372.910822368034,-188643.534205405145,76024.134152351535
2021-12-04T05:00:00+00:00,0,-131107.671857056733,84499.117463627097
2021-12-04T06:00:00+00:00,40722.292229964601,-97778.757452529411,85287.271961543341
2021-12-04T07:00:00+00:00,0,-76378.456171532702,68769.947686595244
2021-12-04T08:00:00+00:00,117436.2210447149698925,0,78295.803661759131
2021-12-04T09:00:00+00:00,29999.066215666597,-87156.721357499170,68769.947686595244
2021-12-04T10:00:00+00:00,39998.767181478298,-15942.966157217789,87821.659636923018
2021-12-04T11:00:00+00:00,87041.821714796041,0,76719.494665926643
2021-12-04T12:00:00+00:00,14694.000000000000,-62658.5145678936224152,87296.223304978855
2021-12-04T13:00:00+00:00,11000.000000000000,0,86245.350641090530
2021-12-04T14:00:00+00:00,,,86245.350641090530
2021-12-04T15:00:00+00:00,19999.411628748216,0,86245.350641090530
2021-12-04T16:00:00+00:00,6258.4599578856440018,0,86245.350641090530
2021-12-04T17:00:00+00:00,,,86245.350641090530
2021-12-04T18:00:00+00:00,0,-73478.943362435774,87033.505139006774
2021-12-04T19:00:00+00:00,120000.000000000000,-92834.670662707126,80945.652654869597
2021-12-04T20:00:00+00:00,42509.583795098246,-85309.1001865964606784,82750.270050191473
2021-12-04T21:00:00+00:00,0,-5491.3708075708188860,68769.947686595244
2021-12-04T22:00:00+00:00,,,68769.947686595244
2021-12-04T23:00:00+00:00,0,-61078.703711569568,68769.947686595244
2021-12-05T00:00:00+00:00,65032.999190765834,0,68769.947686595244
2021-12-05T01:00:00+00:00,,,68769.947686595244
2021-12-05T02:00:00+00:00,,,68769.947686595244
2021-12-05T03:00:00+00:00,69998.120000000000,-130441.619659220302,68769.947686595244
2021-12-05T04:00:00+00:00,25000.000000000000,0,68769.947686595244
2021-12-05T05:00:00+00:00,111937.027787606564,-140021.308822090603,68769.947686595244
2021-12-05T06:00:00+00:00,3181.2247075067417274,0,68769.947686595244
2021-12-05T07:00:00+00:00,,,68769.947686595244
2021-12-05T08:00:00+00:00,36171.1237839801025413,0,68769.947686595244
2021-12-05T09:00:00+00:00,818.8824474447042579,0,68769.947686595244
2021-12-05T10:00:00+00:00,,,68769.947686595244
2021-12-05T11:00:00+00:00,,,68769.947686595244
2021-12-05T12:00:00+00:00,62920.2061323982495383,0,78295.803661759131
2021-12-05T13:00:00+00:00,33390.000000000000,0,86245.350641090530
2021-12-05T14:00:00+00:00,,,86245.350641090530
2021-12-05T15:00:00+00:00,,,86245.350641090530
2021-12-05T16:00:00+00:00,0,-4774.5738490808886606,86245.350641090530
2021-12-05T17:00:00+00:00,,,86245.350641090530
2021-12-05T18:00:00+00:00,,,86245.350641090530
2021-12-05T19:00:00+00:00,0,-56467.695409040710,87821.659636923018
2021-12-05T20:00:00+00:00,231088.912770432962,-320620.697955873136,68769.947686595244
2021-12-05T21:00:00+00:00,,,68769.947686595244
2021-12-05T22:00:00+00:00,,,68769.947686595244
2021-12-05T23:00:00+00:00,,,68769.947686595244
2021-12-06T00:00:00+00:00,,,68769.947686595244
2021-12-06T01:00:00+00:00,,,68769.947686595244
2021-12-06T02:00:00+00:00,,,68769.947686595244
2021-12-06T03:00:00+00:00,1258.4592103704048128,0,68769.947686595244
2021-12-06T04:00:00+00:00,331443.1427261683854099,-254624.702979005248,68375.870437637122
2021-12-06T05:00:00+00:00,,,68375.870437637122
2021-12-06T06:00:00+00:00,75965.601883485070,-160379.210225923917,68769.947686595244
2021-12-06T07:00:00+00:00,46148.518396294275,0,68769.947686595244
2021-12-06T08:00:00+00:00,,,68769.947686595244
2021-12-06T09:00:00+00:00,,,68769.947686595244
2021-12-06T10:00:00+00:00,,,68769.947686595244
2021-12-06T11:00:00+00:00,,,68769.947686595244
2021-12-06T12:00:00+00:00,127617.850830902522,-168405.853856549983,68769.947686595244
2021-12-06T13:00:00+00:00,218694.1072733796989651,-222083.716913495687,68769.947686595244
2021-12-06T14:00:00+00:00,,,68769.947686595244
2021-12-06T15:00:00+00:00,,,68769.947686595244
2021-12-06T16:00:00+00:00,99997.499100000000,-148584.032207040685,68769.947686595244
2021-12-06T17:00:00+00:00,469043.466527293347,-467673.737935460292,68769.947686595244
2021-12-06T18:00:00+00:00,72082.742383690990,0,68769.947686595244
2021-12-06T19:00:00+00:00,1921.5223857555198133,-54928.027037202180,68769.947686595244
2021-12-06T20:00:00+00:00,,,68769.947686595244
2021-12-06T21:00:00+00:00,,,68769.947686595244
2021-12-06T22:00:00+00:00,,,68769.947686595244
2021-12-06T23:00:00+00:00,0,-72587.231385931491,68769.947686595244
2021-12-07T00:00:00+00:00,,,68769.947686595244
2021-12-07T01:00:00+00:00,144996.384331914826,-48515.923200813581,68769.947686595244
2021-12-07T02:00:00+00:00,39865.321696828051,0,68769.947686595244
2021-12-07T03:00:00+00:00,,,68769.947686595244
2021-12-07T04:00:00+00:00,,,68769.947686595244
2021-12-07T05:00:00+00:00,1015.8140137314957523,0,68769.947686595244
2021-12-07T06:00:00+00:00,,,68769.947686595244
2021-12-07T07:00:00+00:00,,,68769.947686595244
2021-12-07T08:00:00+00:00,0,-718.8063366008455410,68769.947686595244
