week,amount,revenues,volume,revenues_ratio,volume_ratio
2021-04-19T00:00:00+00:00,0,12.392853431036131258250000000000000000,2708.0200686214904253,,
2021-04-26T00:00:00+00:00,0,44.734408069019570325516000000000000000000,9625.9366474588418660532,,
2021-05-03T00:00:00+00:00,0,84.3605297138584542400000000000000000,21697.88359121890280,,
2021-05-10T00:00:00+00:00,0,4972.4807375414281028560000000000000000,1493101.02286255949739,,
2021-05-17T00:00:00+00:00,0,24940.46719583550606585789329354500000000000000000,7149773.064553701540127578658709,,
2021-05-24T00:00:00+00:00,7499.999999999997,85824.036705186454582745560500000000000,33855301.2387821751290,0.381877124518505110868565669685725,150.6403751571921990
2021-05-31T00:00:00+00:00,19999.999999999992,60700.4497155515414610011740000000000000000,25608168.71131659149577364,0.1025018966558040423143575925621795563,43.24326879112509037
2021-06-07T00:00:00+00:00,49999.999999999938,183077.639087790045509034555700000000000000,71530215.0147892401466262,0.146436839293483689123763966710508114,57.2142980046087449
2021-06-14T00:00:00+00:00,67499.999999999973,177536.81298770467700129599100000000000000000,66939955.744021472586214933,0.11985713830389574754147816193515230543,45.191931738819101161
2021-06-21T00:00:00+00:00,89499.999999999974,437968.7956416740509795257551000000000000000,147650803.20513626738724788,0.2976897430109503746478379565367109039,100.35904406636922380
2021-06-28T00:00:00+00:00,123500.000000000015,359600.06010163972131717512840000000000000000,126920905.021507555175586867,0.14049143880649284983981152942076589282,49.586478256021047156
2021-07-05T00:00:00+00:00,119999.999999999966,366441.033617306854351160370100000000000000,110747322.8977092744384908,0.130386899264184820340938907287723695,39.4060673061036062
2021-07-12T00:00:00+00:00,119999.999999999952,325685.7855454646334772217473000000000000000,126884583.52719573407588475,0.1398342634240822509399620275776258690,54.47831334634657911
2021-07-19T00:00:00+00:00,119999.999999999994,308628.05493490697792086125289804000000000000000000,104931050.399034076803764064089608,0.14424688295573886896427083769158676716973012,49.042777230749639398144443
2021-07-26T00:00:00+00:00,119999.999999999994,452849.0354821266844669995033500000000000000000,154932143.27290461446007982058,0.1843480515748523689915198878683969110991,63.07055221674004483685
2021-08-02T00:00:00+00:00,119999.999999999994,514679.1978194553109127498602500000000000000000,180932103.42252889949851483581,0.1826625417767617324121493945461304472339,64.21382103686367344886
2021-08-09T00:00:00+00:00,119999.999999999994,422033.7066102811877222263443550000000000000000,143706606.57462868854223596551,0.1365692488677303869400229041145370193073,46.50316552879185936520
2021-08-16T00:00:00+00:00,119999.999999999973,465760.6296185064811157645451050000000000000000,181800922.80113313158928596007,0.1375798597217317493907725313822908740124,53.70171685989890616862
2021-08-23T00:00:00+00:00,119999.999999999994,341014.5922430716671349461236700000000000000000,135421731.70144981324790336778,0.1021814388046911177878118019642277711953,40.57769874203419534721
2021-08-30T00:00:00+00:00,119999.999999999994,507612.935502816178763801359481960510000,227694581.14763494714651,0.137750993415774256771338400110037,61.7895103823675678
2021-09-06T00:00:00+00:00,114000.0000000000034,901587.3141874813182970642358098241500000,388419478.76678013179231,0.2876274007546327394713807168179231,123.9148813676924759
2021-09-13T00:00:00+00:00,114000.0000000000034,1504426.72717427921832943610393602821900000,290171402.638767909838755,0.49879913240389325861398455845482916,96.2075728051534648
2021-09-20T00:00:00+00:00,105899.9999999999967,683322.9938668690991674381787269960680000,314019021.84819569693981,0.3058773782057104439071281515126197,140.5650270395574525
2021-09-27T00:00:00+00:00,105499.9999999999977,957828.925059747905163295028618056450000000,240919577.13437677559618,0.438124122668729509790188039695522238,110.1999277784766384
2021-10-04T00:00:00+00:00,105499.9999999999977,373972.5378512950561348626076556790450000,189816141.174642785612615,0.1617128020857396045029321298025714,82.0800913532841614
2021-10-11T00:00:00+00:00,105799.9999999999973,361334.654358597999892616468750730395600000,427609115.17000339663348,0.156883830598665193799500451965142857,185.6587935244070328
2021-10-18T00:00:00+00:00,105799.9999999999973,356411.017049036305047293180194487361500000,338667446.5505579666005006,0.151672459392233698887111152029409400,144.1215957904684785
2021-10-25T00:00:00+00:00,105799.9999999999973,1113008.25232471253362244390908785125200000000,531557150.939045996690011106,0.42702205257488438653048725750571497845,203.939750833605914588
2021-11-01T00:00:00+00:00,106279.9999999999975,1708018.324886153046097104044896471000000000,399342667.24352311205802,0.600067889214195227314516064047956593,140.2986770776948387
2021-11-08T00:00:00+00:00,106279.9999999999975,523236.036660954774223956484108911965000000,360320720.813840229338259,0.194998760363532837829541879879993221,134.2837437963427430
2021-11-15T00:00:00+00:00,106279.9999999999975,1232444.780655762014676799458995974271000000,556339200.3526558756580094,0.538059848276875269924680648378503955,242.8861645005730906
2021-11-22T00:00:00+00:00,107079.9999999999976,1487375.8354149698516199152175194740030000000,572226564.86447212779605769,0.6707590580133941943720756800074253745,258.05592808467827888
2021-11-29T00:00:00+00:00,107079.9999999999976,5670018.507391982329670752715970252249000000,878407104.9739462158212049,2.718530071501972938312441055904744151,421.1584365693810935
2021-12-06T00:00:00+00:00,107079.9999999999976,1448031.77670825773275906692714630613400000000,509677453.13369059423874,0.86642081601178404534118136767781063198,304.9623371185661678
2021-12-13T00:00:00+00:00,107079.9999999999976,670343.36510421294980275422939519948500000000,514547279.94339669713960327,0.40367551705773293971623135893329055578,309.85633646050882701
2021-12-20T00:00:00+00:00,107079.9999999999556,169184.745926725745928193460977559298000000,308479397.2382770417166625,0.086116588551938481557895739076288346,157.0188445962151378
2021-12-27T00:00:00+00:00,107079.9999999999556,190624.7199608204147240371091434394700000000,425088449.49853609125634,0.1017105480174762694743986889996967275,226.8120271247180979
