timestamp,owner,collateral,debt,price,collateralRatio,mode,transaction
2022-02-02T13:57:52+00:00,"<a href=""https://etherscan.io/address/0x28fb14c9cf381bac0ac9851b37a92d5501a87b6f"">0x28fb14c9cf381bac0ac9851b37a92d5501a87b6f</a>",5.2000000000000000,13186.531064390257,2779.8376933100000000,1.09620611627326447328661482963982,normal,"<a href=""https://etherscan.io/tx/0x5e76cbe512cb821410e71571268e53712695da97eb16fa495897231d202d8eb1"">0x5e76cbe512cb821410e71571268e53712695da97eb16fa495897231d202d8eb1</a>"
2022-01-24T14:11:42+00:00,"<a href=""https://etherscan.io/address/0xe5c3ef123e8a192930714a13aad8f99ca881f430"">0xe5c3ef123e8a192930714a13aad8f99ca881f430</a>",17.8837880913818430,35390.597726027529,2174.7667851800000000,1.09896613319224856898233099170303,normal,"<a href=""https://etherscan.io/tx/0x77edf5ace7b9613f037e92f68f5905131567d46eb86853b458c311e88031e781"">0x77edf5ace7b9613f037e92f68f5905131567d46eb86853b458c311e88031e781</a>"
2022-01-24T14:08:19+00:00,"<a href=""https://etherscan.io/address/0xd7e8311a47518c4f59ce3d7e3f59a1bb0713899f"">0xd7e8311a47518c4f59ce3d7e3f59a1bb0713899f</a>",124.2500000000000000,248495.243304068851,2188.0412294400000000,1.09404155646253574753616161054742,normal,"<a href=""https://etherscan.io/tx/0x026c643bfc853cf857f351f616c6c7c3dd484077693e833e6964fdd73c81bc84"">0x026c643bfc853cf857f351f616c6c7c3dd484077693e833e6964fdd73c81bc84</a>"
2022-01-24T12:52:29+00:00,"<a href=""https://etherscan.io/address/0xccc020e1cca71c096ea0316850c1671846eaf5ba"">0xccc020e1cca71c096ea0316850c1671846eaf5ba</a>",47.5000000000000000,94683.924586110881,2190.0517666700000000,1.09868131651235668729469613683801,normal,"<a href=""https://etherscan.io/tx/0xa9514338edf2fb1dc62beb72503b2dee68f3bbbaca830a8300d16f107bd1b99f"">0xa9514338edf2fb1dc62beb72503b2dee68f3bbbaca830a8300d16f107bd1b99f</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0xffe026112ff700f2c3d1e47423c22288cf85ac16"">0xffe026112ff700f2c3d1e47423c22288cf85ac16</a>",0.99666802480083761200,2000.0000000000000000,2201.2267474800000000,1.096946157274831875721205108880000000,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0xcc43176a30234f7419d451fa2906381e9f6aeb9b"">0xcc43176a30234f7419d451fa2906381e9f6aeb9b</a>",0.99666628525482546000,2000.0000000000000000,2201.2267474800000000,1.096944242707226665145447420400000000,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0x48ddf6d748aed851a19aa33916b3d05f179a18d5"">0x48ddf6d748aed851a19aa33916b3d05f179a18d5</a>",1.00000000000000000000,2009.0027815082687846,2201.2267474800000000,1.095681284138102646758934132695853854,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0xb65b11637e00dedf0cb9744bc2114775011366e4"">0xb65b11637e00dedf0cb9744bc2114775011366e4</a>",1.00000000000000000000,2009.0150078285512172,2201.2267474800000000,1.095674616119070863246867272467195352,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0xa4a8b0c9d743fdd4c7364219dd0e3396002e89d3"">0xa4a8b0c9d743fdd4c7364219dd0e3396002e89d3</a>",1.00000000000000000000,2009.0193035103291026,2201.2267474800000000,1.095672273349404722965917859816900688,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
2022-01-24T12:44:39+00:00,"<a href=""https://etherscan.io/address/0x2a3aea8220dc1ae13882b782985624ab86521c4a"">0x2a3aea8220dc1ae13882b782985624ab86521c4a</a>",1.00000000000000000000,2009.0550790862512598,2201.2267474800000000,1.095652762532101076820829183540401534,normal,"<a href=""https://etherscan.io/tx/0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf"">0xcb9c13753060a2fd630a5f5a9641af4205915fceef85d9e69dc9d394bfee1daf</a>"
