hour,3crvBalance,lusdBalance,3crvPerLusd
2021-09-30T01:00:00+00:00,65942706.230616357577176177000000000000000000,93765754.811162647736741943000000000000000000,70.327068089432150236126733411222009339
2021-09-30T02:00:00+00:00,66014969.819878905387176177000000000000000000,93691890.669676846493741943000000000000000000,70.459641008444811424992675089104501702
2021-09-30T03:00:00+00:00,66050561.214671614763176177000000000000000000,93655511.524839773509741943000000000000000000,70.525012505167260112796935899313443046
2021-09-30T04:00:00+00:00,66300224.567574867453176177000000000000000000,93400348.622416881598741943000000000000000000,70.984986186295933318294803227413898380
2021-09-30T05:00:00+00:00,67522068.774283143435176177000000000000000000,92130099.391094806045741943000000000000000000,73.289912005467512008532707365169767653
2021-09-30T06:00:00+00:00,67651563.452945574009893977000000000000000000,91997993.665498544634741943000000000000000000,73.535911770993907867144048063616414487
2021-09-30T07:00:00+00:00,67538101.368636250749893977000000000000000000,91822465.536643404768741943000000000000000000,73.552916461041832787489023007007051483
2021-09-30T08:00:00+00:00,67181726.413248917907893977000000000000000000,91877533.981603392716741943000000000000000000,73.120950793804165517997570721076692139
2021-09-30T09:00:00+00:00,66152485.555238520058713077000000000000000000,91887482.873145228689821243000000000000000000,71.992923831165316547248358304582539506
2021-09-30T10:00:00+00:00,66217456.831352897901373669000000000000000000,91821249.459025703776821243000000000000000000,72.115612912566347465495504837469780993
2021-09-30T11:00:00+00:00,65474894.734295858663373669000000000000000000,91844286.594877772659821243000000000000000000,71.289023151873928865386079688696229526
2021-09-30T12:00:00+00:00,65460787.598468734913373669000000000000000000,91842180.462593310264821243000000000000000000,71.275297764876634659284761990743115919
2021-09-30T13:00:00+00:00,66449737.755483864298373669000000000000000000,90807876.014136493021821243000000000000000000,73.176183247738685419667743701815356014
2021-09-30T14:00:00+00:00,66401811.252250613589701169000000000000000000,90856882.791829339803821243000000000000000000,73.083963715099034767634017240086816317
2021-09-30T15:00:00+00:00,66935145.477530847189701169000000000000000000,90312064.701451879957821243000000000000000000,74.115397205014603759825187849591652174
2021-09-30T16:00:00+00:00,66715084.409639865257861469000000000000000000,90531204.814354619234821243000000000000000000,73.692915659796375328763704457482789403
2021-09-30T17:00:00+00:00,76555222.372439974065861469000000000000000000,80491979.665683570318821243000000000000000000,95.109130984733417012251357415168791204
2021-09-30T18:00:00+00:00,75747384.168342131493861469000000000000000000,81315881.640228731158821243000000000000000000,93.152017343274129696968299175953296296
2021-09-30T19:00:00+00:00,75244208.787710866832861469000000000000000000,81813533.735012777794821243000000000000000000,91.970368901825696268865428238443608998
2021-09-30T21:00:00+00:00,75204998.920727748135861469000000000000000000,81853532.719346229111821243000000000000000000,91.877523696607552650257106860116712852
2021-09-30T22:00:00+00:00,74817812.847751793803861469000000000000000000,82248532.719346229111821243000000000000000000,90.965528957276333464617165363218928513
2021-10-01T00:00:00+00:00,74757626.657240039809861469000000000000000000,82309937.085404199003821243000000000000000000,90.824545983642368495160440417295127981
2021-10-01T01:00:00+00:00,74747825.132433316086719969000000000000000000,82319937.085404199003821243000000000000000000,90.801606243800856640109078568534042432
2021-10-01T02:00:00+00:00,74722252.474813066198919469000000000000000000,82344937.085404199003821243000000000000000000,90.742983259935881903218447117348402765
2021-10-01T04:00:00+00:00,74988116.249107174475919469000000000000000000,81996899.809928533942821243000000000000000000,91.452379813056412536053418773525696707
2021-10-01T05:00:00+00:00,74485803.010921677096919469000000000000000000,82396533.001269367969821243000000000000000000,90.399195570248299965939917788517080601
2021-10-01T06:00:00+00:00,74485803.010921677096919469000000000000000000,82192244.509417150189821243000000000000000000,90.623882405824177222604034687345454532
2021-10-01T07:00:00+00:00,74298029.307349623268567969000000000000000000,82264636.453322263299821243000000000000000000,90.315878742753614849514612058794809024
2021-10-01T08:00:00+00:00,74487398.965856776503567969000000000000000000,82071835.793612982393821243000000000000000000,90.758782529455197007884844030333933901
2021-10-01T09:00:00+00:00,74786665.447031157058567969000000000000000000,81755006.922381815461821243000000000000000000,91.476556925783884799123123009839066765
2021-10-01T10:00:00+00:00,75164658.751229354983415397000000000000000000,81369871.372072107300258993000000000000000000,92.374066080959155898203278744656925154
2021-10-01T11:00:00+00:00,74911843.636302135267606497000000000000000000,81599870.013248584435717193000000000000000000,91.803876187718707414135971018336922993
2021-10-01T13:00:00+00:00,74813211.947699046214775997000000000000000000,81629441.581755845033717193000000000000000000,91.649790195820445211001597616668433851
2021-10-01T14:00:00+00:00,74757391.496358739421775997000000000000000000,81686387.958674510827717193000000000000000000,91.517562919024917562292930015894077661
2021-10-01T15:00:00+00:00,74986343.507281977305775997000000000000000000,81453914.093862897271717193000000000000000000,92.059840636843974938157763535323044420
2021-10-01T17:00:00+00:00,74917650.313268514617775997000000000000000000,81524030.013878367954717193000000000000000000,91.896401957207946929278086397515903744
2021-10-01T18:00:00+00:00,74916202.530312145345141997000000000000000000,81524030.013878367954717193000000000000000000,91.894626060020181791701123532300068701
2021-10-01T19:00:00+00:00,74799065.881856912489141997000000000000000000,81643527.521170210997717193000000000000000000,91.616651255620323496292411526414274470
2021-10-01T20:00:00+00:00,74738941.888453041773141997000000000000000000,81704864.777939792510717193000000000000000000,91.474286251597174320989550081711751449
2021-10-01T21:00:00+00:00,74090178.438443489830368697000000000000000000,82349715.988561480244717193000000000000000000,89.970168748043703461557723078990556496
2021-10-01T23:00:00+00:00,74004356.033787813242411397000000000000000000,82349715.988561480244717193000000000000000000,89.865951746654654991433612794703978077
2021-10-02T00:00:00+00:00,74003881.387458055030944697000000000000000000,82350200.305310118514386593000000000000000000,89.864846852942172091209178465928717014
