day,daily_tvl
2021-12-17T00:00:00+00:00,136600.000000000000000000000000000000000000
2021-12-16T00:00:00+00:00,132600.000000000000000000000000000000000000
2021-12-15T00:00:00+00:00,131100.000000000000000000000000000000000000
2021-12-14T00:00:00+00:00,133900.000000000000000000000000000000000000
2021-12-13T00:00:00+00:00,132800.000000000000000000000000000000000000
2021-12-12T00:00:00+00:00,134700.000000000000000000000000000000000000
2021-12-11T00:00:00+00:00,148800.000000000000000000000000000000000000
2021-12-10T00:00:00+00:00,156200.000000000000000000000000000000000000
2021-12-09T00:00:00+00:00,159800.000000000000000000000000000000000000
2021-12-08T00:00:00+00:00,159300.000000000000000000000000000000000000
2021-12-07T00:00:00+00:00,161000.000000000000000000000000000000000000
2021-12-06T00:00:00+00:00,162800.000000000000000000000000000000000000
2021-12-05T00:00:00+00:00,159500.000000000000000000000000000000000000
2021-12-04T00:00:00+00:00,129400.000000000000000000000000000000000000
2021-12-03T00:00:00+00:00,129500.000000000000000000000000000000000000
2021-12-02T00:00:00+00:00,133900.000000000000000000000000000000000000
2021-12-01T00:00:00+00:00,136800.000000000000000000000000000000000000
2021-11-30T00:00:00+00:00,137900.000000000000000000000000000000000000
2021-11-29T00:00:00+00:00,141300.000000000000000000000000000000000000
2021-11-28T00:00:00+00:00,142700.000000000000000000000000000000000000
2021-11-27T00:00:00+00:00,142600.000000000000000000000000000000000000
2021-11-26T00:00:00+00:00,143000.000000000000000000000000000000000000
2021-11-25T00:00:00+00:00,143900.000000000000000000000000000000000000
2021-11-24T00:00:00+00:00,146400.000000000000000000000000000000000000
2021-11-23T00:00:00+00:00,150600.000000000000000000000000000000000000
2021-11-22T00:00:00+00:00,149800.000000000000000000000000000000000000
2021-11-21T00:00:00+00:00,151600.000000000000000000000000000000000000
2021-11-20T00:00:00+00:00,152700.000000000000000000000000000000000000
2021-11-19T00:00:00+00:00,153100.000000000000000000000000000000000000
2021-11-18T00:00:00+00:00,156600.000000000000000000000000000000000000
2021-11-17T00:00:00+00:00,154700.000000000000000000000000000000000000
2021-11-16T00:00:00+00:00,157900.000000000000000000000000000000000000
2021-11-15T00:00:00+00:00,157900.000000000000000000000000000000000000
2021-11-14T00:00:00+00:00,154800.000000000000000000000000000000000000
2021-11-13T00:00:00+00:00,155500.000000000000000000000000000000000000
2021-11-12T00:00:00+00:00,156600.000000000000000000000000000000000000
2021-11-11T00:00:00+00:00,158000.000000000000000000000000000000000000
2021-11-10T00:00:00+00:00,160600.000000000000000000000000000000000000
2021-11-09T00:00:00+00:00,161300.000000000000000000000000000000000000
2021-11-08T00:00:00+00:00,162800.000000000000000000000000000000000000
2021-11-07T00:00:00+00:00,164600.000000000000000000000000000000000000
2021-11-06T00:00:00+00:00,167000.000000000000000000000000000000000000
2021-11-05T00:00:00+00:00,171500.000000000000000000000000000000000000
2021-11-04T00:00:00+00:00,171700.000000000000000000000000000000000000
2021-11-03T00:00:00+00:00,173700.000000000000000000000000000000000000
2021-11-02T00:00:00+00:00,175900.000000000000000000000000000000000000
2021-11-01T00:00:00+00:00,176400.000000000000000000000000000000000000
2021-10-31T00:00:00+00:00,175600.000000000000000000000000000000000000
2021-10-30T00:00:00+00:00,178600.000000000000000000000000000000000000
2021-10-29T00:00:00+00:00,177700.000000000000000000000000000000000000
2021-10-28T00:00:00+00:00,182000.000000000000000000000000000000000000
2021-10-27T00:00:00+00:00,183600.000000000000000000000000000000000000
2021-10-26T00:00:00+00:00,185200.000000000000000000000000000000000000
2021-10-25T00:00:00+00:00,185500.000000000000000000000000000000000000
2021-10-24T00:00:00+00:00,187100.000000000000000000000000000000000000
2021-10-23T00:00:00+00:00,189900.000000000000000000000000000000000000
2021-10-22T00:00:00+00:00,189100.000000000000000000000000000000000000
2021-10-21T00:00:00+00:00,190600.000000000000000000000000000000000000
2021-10-20T00:00:00+00:00,190300.000000000000000000000000000000000000
2021-10-19T00:00:00+00:00,187800.000000000000000000000000000000000000
2021-10-18T00:00:00+00:00,189500.000000000000000000000000000000000000
2021-10-17T00:00:00+00:00,191300.000000000000000000000000000000000000
2021-10-16T00:00:00+00:00,192800.000000000000000000000000000000000000
2021-10-15T00:00:00+00:00,193500.000000000000000000000000000000000000
2021-10-14T00:00:00+00:00,194100.000000000000000000000000000000000000
2021-10-13T00:00:00+00:00,196400.000000000000000000000000000000000000
2021-10-12T00:00:00+00:00,198500.000000000000000000000000000000000000
2021-10-11T00:00:00+00:00,198000.000000000000000000000000000000000000
2021-10-10T00:00:00+00:00,193000.000000000000000000000000000000000000
2021-10-09T00:00:00+00:00,195500.000000000000000000000000000000000000
2021-10-08T00:00:00+00:00,195400.000000000000000000000000000000000000
2021-10-07T00:00:00+00:00,192400.000000000000000000000000000000000000
2021-10-06T00:00:00+00:00,193900.000000000000000000000000000000000000
2021-10-05T00:00:00+00:00,195000.000000000000000000000000000000000000
2021-10-04T00:00:00+00:00,194800.000000000000000000000000000000000000
2021-10-03T00:00:00+00:00,193800.000000000000000000000000000000000000
2021-10-02T00:00:00+00:00,192300.000000000000000000000000000000000000
2021-10-01T00:00:00+00:00,189500.000000000000000000000000000000000000
2021-09-30T00:00:00+00:00,192000.000000000000000000000000000000000000
2021-09-29T00:00:00+00:00,193300.000000000000000000000000000000000000
2021-09-28T00:00:00+00:00,193100.000000000000000000000000000000000000
2021-09-27T00:00:00+00:00,194400.000000000000000000000000000000000000
2021-09-26T00:00:00+00:00,193200.000000000000000000000000000000000000
2021-09-25T00:00:00+00:00,193800.000000000000000000000000000000000000
2021-09-24T00:00:00+00:00,193400.000000000000000000000000000000000000
2021-09-23T00:00:00+00:00,189200.000000000000000000000000000000000000
2021-09-22T00:00:00+00:00,191700.000000000000000000000000000000000000
2021-09-21T00:00:00+00:00,191900.000000000000000000000000000000000000
2021-09-20T00:00:00+00:00,193200.000000000000000000000000000000000000
2021-09-19T00:00:00+00:00,195700.000000000000000000000000000000000000
