tornado_vault,relayer_total_fee_eth,relayer_gas_cost_eth,relayer_profit_eth,relayer_total_fee_usd,relayer_gas_cost_usd,relayer_profit_usd
0.1,168.66621668067955000000,118.051850345290243719000000000000000000,49.412349935389306281000000000000000000,480750.0933764193,333903.2170630733,143273.9175903523
1,598.70192373405120000000,405.525181093932226105000000000000000000,190.136201640118973895000000000000000000,1783862.839849213,1188594.9068409314,586265.7224007684
10,777.87115586835200000000,494.04978489806312153700,277.92381677028887846300,2246857.320221016,1424802.7702015038,803704.5014063269
100,805.79039552649600000000,284.92232721086155474700,512.45996601563444525300,1905051.370361281,746644.4105136395,1137741.5173465423
