day,daily_tvl
2021-12-17T00:00:00+00:00,323.800000000000000000000000000000000000
2021-12-16T00:00:00+00:00,323.900000000000000000000000000000000000
2021-12-15T00:00:00+00:00,324.500000000000000000000000000000000000
2021-12-14T00:00:00+00:00,324.900000000000000000000000000000000000
2021-12-13T00:00:00+00:00,325.100000000000000000000000000000000000
2021-12-12T00:00:00+00:00,323.300000000000000000000000000000000000
2021-12-11T00:00:00+00:00,324.500000000000000000000000000000000000
2021-12-10T00:00:00+00:00,323.800000000000000000000000000000000000
2021-12-09T00:00:00+00:00,324.200000000000000000000000000000000000
2021-12-08T00:00:00+00:00,323.300000000000000000000000000000000000
2021-12-07T00:00:00+00:00,323.700000000000000000000000000000000000
2021-12-06T00:00:00+00:00,323.900000000000000000000000000000000000
2021-12-05T00:00:00+00:00,323.700000000000000000000000000000000000
2021-12-04T00:00:00+00:00,323.200000000000000000000000000000000000
2021-12-03T00:00:00+00:00,323.000000000000000000000000000000000000
2021-12-02T00:00:00+00:00,322.500000000000000000000000000000000000
2021-12-01T00:00:00+00:00,322.700000000000000000000000000000000000
2021-11-30T00:00:00+00:00,322.400000000000000000000000000000000000
2021-11-29T00:00:00+00:00,322.500000000000000000000000000000000000
2021-11-28T00:00:00+00:00,323.000000000000000000000000000000000000
2021-11-27T00:00:00+00:00,323.700000000000000000000000000000000000
2021-11-26T00:00:00+00:00,323.800000000000000000000000000000000000
2021-11-25T00:00:00+00:00,323.500000000000000000000000000000000000
2021-11-24T00:00:00+00:00,323.700000000000000000000000000000000000
2021-11-23T00:00:00+00:00,323.100000000000000000000000000000000000
2021-11-22T00:00:00+00:00,323.100000000000000000000000000000000000
2021-11-21T00:00:00+00:00,322.800000000000000000000000000000000000
2021-11-20T00:00:00+00:00,323.200000000000000000000000000000000000
2021-11-19T00:00:00+00:00,323.400000000000000000000000000000000000
2021-11-18T00:00:00+00:00,323.600000000000000000000000000000000000
2021-11-17T00:00:00+00:00,323.500000000000000000000000000000000000
2021-11-16T00:00:00+00:00,323.500000000000000000000000000000000000
2021-11-15T00:00:00+00:00,324.900000000000000000000000000000000000
2021-11-14T00:00:00+00:00,325.100000000000000000000000000000000000
2021-11-13T00:00:00+00:00,325.600000000000000000000000000000000000
2021-11-12T00:00:00+00:00,325.300000000000000000000000000000000000
2021-11-11T00:00:00+00:00,326.100000000000000000000000000000000000
2021-11-10T00:00:00+00:00,326.500000000000000000000000000000000000
2021-11-09T00:00:00+00:00,325.900000000000000000000000000000000000
2021-11-08T00:00:00+00:00,325.600000000000000000000000000000000000
2021-11-07T00:00:00+00:00,325.500000000000000000000000000000000000
2021-11-06T00:00:00+00:00,324.900000000000000000000000000000000000
2021-11-05T00:00:00+00:00,325.300000000000000000000000000000000000
2021-11-04T00:00:00+00:00,325.800000000000000000000000000000000000
2021-11-03T00:00:00+00:00,325.800000000000000000000000000000000000
2021-11-02T00:00:00+00:00,326.000000000000000000000000000000000000
2021-11-01T00:00:00+00:00,325.900000000000000000000000000000000000
2021-10-31T00:00:00+00:00,325.800000000000000000000000000000000000
2021-10-30T00:00:00+00:00,326.600000000000000000000000000000000000
2021-10-29T00:00:00+00:00,326.100000000000000000000000000000000000
2021-10-28T00:00:00+00:00,326.000000000000000000000000000000000000
2021-10-27T00:00:00+00:00,325.700000000000000000000000000000000000
2021-10-26T00:00:00+00:00,325.200000000000000000000000000000000000
2021-10-25T00:00:00+00:00,326.400000000000000000000000000000000000
2021-10-24T00:00:00+00:00,326.000000000000000000000000000000000000
2021-10-23T00:00:00+00:00,327.200000000000000000000000000000000000
2021-10-22T00:00:00+00:00,327.700000000000000000000000000000000000
2021-10-21T00:00:00+00:00,328.800000000000000000000000000000000000
2021-10-20T00:00:00+00:00,329.300000000000000000000000000000000000
2021-10-19T00:00:00+00:00,331.400000000000000000000000000000000000
2021-10-18T00:00:00+00:00,335.300000000000000000000000000000000000
2021-10-17T00:00:00+00:00,338.400000000000000000000000000000000000
2021-10-16T00:00:00+00:00,352.200000000000000000000000000000000000
2021-10-15T00:00:00+00:00,354.400000000000000000000000000000000000
2021-10-14T00:00:00+00:00,355.000000000000000000000000000000000000
2021-10-13T00:00:00+00:00,355.400000000000000000000000000000000000
2021-10-12T00:00:00+00:00,355.000000000000000000000000000000000000
2021-10-11T00:00:00+00:00,355.400000000000000000000000000000000000
2021-10-10T00:00:00+00:00,355.200000000000000000000000000000000000
2021-10-09T00:00:00+00:00,357.400000000000000000000000000000000000
2021-10-08T00:00:00+00:00,356.900000000000000000000000000000000000
2021-10-07T00:00:00+00:00,357.100000000000000000000000000000000000
2021-10-06T00:00:00+00:00,356.700000000000000000000000000000000000
2021-10-05T00:00:00+00:00,357.000000000000000000000000000000000000
2021-10-04T00:00:00+00:00,356.900000000000000000000000000000000000
2021-10-03T00:00:00+00:00,357.800000000000000000000000000000000000
2021-10-02T00:00:00+00:00,361.200000000000000000000000000000000000
2021-10-01T00:00:00+00:00,362.100000000000000000000000000000000000
2021-09-30T00:00:00+00:00,361.500000000000000000000000000000000000
2021-09-29T00:00:00+00:00,361.600000000000000000000000000000000000
2021-09-28T00:00:00+00:00,361.900000000000000000000000000000000000
2021-09-27T00:00:00+00:00,361.600000000000000000000000000000000000
2021-09-26T00:00:00+00:00,361.200000000000000000000000000000000000
2021-09-25T00:00:00+00:00,361.500000000000000000000000000000000000
2021-09-24T00:00:00+00:00,365.400000000000000000000000000000000000
2021-09-23T00:00:00+00:00,365.600000000000000000000000000000000000
2021-09-22T00:00:00+00:00,364.900000000000000000000000000000000000
