day,daily_tvl
2021-12-17T00:00:00+00:00,14850.000000000000000000000000000000000000
2021-12-16T00:00:00+00:00,14960.000000000000000000000000000000000000
2021-12-15T00:00:00+00:00,15140.000000000000000000000000000000000000
2021-12-14T00:00:00+00:00,15220.000000000000000000000000000000000000
2021-12-13T00:00:00+00:00,15060.000000000000000000000000000000000000
2021-12-12T00:00:00+00:00,15080.000000000000000000000000000000000000
2021-12-11T00:00:00+00:00,15100.000000000000000000000000000000000000
2021-12-10T00:00:00+00:00,15370.000000000000000000000000000000000000
2021-12-09T00:00:00+00:00,15280.000000000000000000000000000000000000
2021-12-08T00:00:00+00:00,14960.000000000000000000000000000000000000
2021-12-07T00:00:00+00:00,15110.000000000000000000000000000000000000
2021-12-06T00:00:00+00:00,15230.000000000000000000000000000000000000
2021-12-05T00:00:00+00:00,15430.000000000000000000000000000000000000
2021-12-04T00:00:00+00:00,15280.000000000000000000000000000000000000
2021-12-03T00:00:00+00:00,15020.000000000000000000000000000000000000
2021-12-02T00:00:00+00:00,15120.000000000000000000000000000000000000
2021-12-01T00:00:00+00:00,15190.000000000000000000000000000000000000
2021-11-30T00:00:00+00:00,15200.000000000000000000000000000000000000
2021-11-29T00:00:00+00:00,15430.000000000000000000000000000000000000
2021-11-28T00:00:00+00:00,15390.000000000000000000000000000000000000
2021-11-27T00:00:00+00:00,15530.000000000000000000000000000000000000
2021-11-26T00:00:00+00:00,15330.000000000000000000000000000000000000
2021-11-25T00:00:00+00:00,15570.000000000000000000000000000000000000
2021-11-24T00:00:00+00:00,15230.000000000000000000000000000000000000
2021-11-23T00:00:00+00:00,15040.000000000000000000000000000000000000
2021-11-22T00:00:00+00:00,14800.000000000000000000000000000000000000
2021-11-21T00:00:00+00:00,14870.000000000000000000000000000000000000
2021-11-20T00:00:00+00:00,15230.000000000000000000000000000000000000
2021-11-19T00:00:00+00:00,15430.000000000000000000000000000000000000
2021-11-18T00:00:00+00:00,15530.000000000000000000000000000000000000
2021-11-17T00:00:00+00:00,15480.000000000000000000000000000000000000
2021-11-16T00:00:00+00:00,15500.000000000000000000000000000000000000
2021-11-15T00:00:00+00:00,15600.000000000000000000000000000000000000
2021-11-14T00:00:00+00:00,15960.000000000000000000000000000000000000
2021-11-13T00:00:00+00:00,16040.000000000000000000000000000000000000
2021-11-12T00:00:00+00:00,15930.000000000000000000000000000000000000
2021-11-11T00:00:00+00:00,16040.000000000000000000000000000000000000
2021-11-10T00:00:00+00:00,15900.000000000000000000000000000000000000
2021-11-09T00:00:00+00:00,16250.000000000000000000000000000000000000
2021-11-08T00:00:00+00:00,16370.000000000000000000000000000000000000
2021-11-07T00:00:00+00:00,16240.000000000000000000000000000000000000
2021-11-06T00:00:00+00:00,15980.000000000000000000000000000000000000
2021-11-05T00:00:00+00:00,16260.000000000000000000000000000000000000
2021-11-04T00:00:00+00:00,16280.000000000000000000000000000000000000
2021-11-03T00:00:00+00:00,16380.000000000000000000000000000000000000
2021-11-02T00:00:00+00:00,16410.000000000000000000000000000000000000
2021-11-01T00:00:00+00:00,16250.000000000000000000000000000000000000
2021-10-31T00:00:00+00:00,16530.000000000000000000000000000000000000
2021-10-30T00:00:00+00:00,16340.000000000000000000000000000000000000
2021-10-29T00:00:00+00:00,16200.000000000000000000000000000000000000
2021-10-28T00:00:00+00:00,16220.000000000000000000000000000000000000
2021-10-27T00:00:00+00:00,16350.000000000000000000000000000000000000
2021-10-26T00:00:00+00:00,16580.000000000000000000000000000000000000
2021-10-25T00:00:00+00:00,16400.000000000000000000000000000000000000
2021-10-24T00:00:00+00:00,16330.000000000000000000000000000000000000
2021-10-23T00:00:00+00:00,16380.000000000000000000000000000000000000
2021-10-22T00:00:00+00:00,16640.000000000000000000000000000000000000
2021-10-21T00:00:00+00:00,16570.000000000000000000000000000000000000
2021-10-20T00:00:00+00:00,16520.000000000000000000000000000000000000
2021-10-19T00:00:00+00:00,16430.000000000000000000000000000000000000
2021-10-18T00:00:00+00:00,16530.000000000000000000000000000000000000
2021-10-17T00:00:00+00:00,16530.000000000000000000000000000000000000
2021-10-16T00:00:00+00:00,16550.000000000000000000000000000000000000
2021-10-15T00:00:00+00:00,16590.000000000000000000000000000000000000
2021-10-14T00:00:00+00:00,16650.000000000000000000000000000000000000
2021-10-13T00:00:00+00:00,16680.000000000000000000000000000000000000
2021-10-12T00:00:00+00:00,16890.000000000000000000000000000000000000
2021-10-11T00:00:00+00:00,16960.000000000000000000000000000000000000
2021-10-10T00:00:00+00:00,16920.000000000000000000000000000000000000
2021-10-09T00:00:00+00:00,16980.000000000000000000000000000000000000
2021-10-08T00:00:00+00:00,16880.000000000000000000000000000000000000
2021-10-07T00:00:00+00:00,16850.000000000000000000000000000000000000
2021-10-06T00:00:00+00:00,16710.000000000000000000000000000000000000
2021-10-05T00:00:00+00:00,17130.000000000000000000000000000000000000
2021-10-04T00:00:00+00:00,17030.000000000000000000000000000000000000
2021-10-03T00:00:00+00:00,16850.000000000000000000000000000000000000
2021-10-02T00:00:00+00:00,16480.000000000000000000000000000000000000
2021-10-01T00:00:00+00:00,16390.000000000000000000000000000000000000
2021-09-30T00:00:00+00:00,16420.000000000000000000000000000000000000
2021-09-29T00:00:00+00:00,16310.000000000000000000000000000000000000
2021-09-28T00:00:00+00:00,16600.000000000000000000000000000000000000
2021-09-27T00:00:00+00:00,16680.000000000000000000000000000000000000
2021-09-26T00:00:00+00:00,16780.000000000000000000000000000000000000
2021-09-25T00:00:00+00:00,16560.000000000000000000000000000000000000
