block_time,relayer,gas_fee,relayers_fee,fee_contract_address,hash
2022-03-24T19:15:17+00:00,\xc6c86aa348eaa0ef1b6f8da90c279b670e67a55d,0.03696763543763493000,0.3645115,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x7f5169c9a04d0e3e2833d76b99d9ebe62622772ee5be52637e1ffe061228cc2d
2022-03-24T19:04:20+00:00,\x3e9979106da74afb64b866218aeb47f224a312bb,0.05816570731898353400,0.441872,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x8435bf498f6bba9bc0f1580627877ece0082c90f2472572baefb0e815e7f71da
2022-03-24T18:47:26+00:00,\x3e9979106da74afb64b866218aeb47f224a312bb,0.02585390237993097600,0.036907,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x91624376cc40ef1aca2609c53a75e55e4efd0b9b12ab56f4dfbba29433635224
2022-03-24T18:44:18+00:00,\x62e142f218585827436f59997c301f7040396ad4,0.03620075896688260800,0.0979125,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x35cb1b8d0e5484f652e3bb3337b74ad7ba7b7dd5d6bd80381b747e3d38c88456
2022-03-24T18:42:29+00:00,\x78c88ff43cd503316e8a15b6d92b2ebfa73802b2,0.03971188848343741400,0.064374,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x4a24c8f59e39f8f23e45236a3b91567d3c1b87431a467b707ffbf7eeffc7822f
2022-03-24T18:39:33+00:00,\x78c88ff43cd503316e8a15b6d92b2ebfa73802b2,0.03103260205823026600,0.052802,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x6adf0a180934859de2022853f4ff4791c36b6790ce6116c01dc465e7abbe9488
2022-03-24T18:38:35+00:00,\x7ba6781620c91676b070d319e7e894bfd4a9ec81,0.03073641135603297000,0.0704295,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x99bf1c3312e563e700f1fe656f978684a7e51423d312075772daaa7188f8dc96
2022-03-24T18:37:14+00:00,\x78c88ff43cd503316e8a15b6d92b2ebfa73802b2,0.02309584359144057400,0.0362085,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x645b4f31f13585dce61a73da090248218bef61c765bbcc5a8bc88b8022018573
2022-03-24T18:37:14+00:00,\x6a2d058890cca15beaee5050caaad56b2ab54dd4,0.02309516048792857000,0.0451165,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\xe2337e2f22c1c0a03afef51caee83ac505b57a216c2ff0b94622a9a4d0e8a10d
2022-03-24T18:34:52+00:00,\x6a2d058890cca15beaee5050caaad56b2ab54dd4,0.02759840350595757000,0.0500445,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,\x668a6e9d647e14d1f8235dbd1dad0b917fd1a7c132b88bd293bdafe845f58530
