timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
2021-10-05T00:00:00Z,21.86546609,22.37346063,21.56579750,21.70171185,19933008.45,21.84751071,22.37008468,21.54240094,21.62545335,9254084.36,476808,9254084,1356,5254737,4946021
2021-10-04T00:00:00Z,22.73294496,22.83871624,21.18535598,21.86373029,28829593.37,22.72625453,22.83112761,21.19155465,21.85046001,11896080.29,317119,11896080,16495,12436986,4162910
2021-10-03T00:00:00Z,22.39764431,23.22316556,21.89362744,22.73003746,32918274.20,22.38856933,23.20538274,21.89109330,22.71768757,14159983.51,379685,14159983,17689,13758350,4602565
2021-10-02T00:00:00Z,21.70181258,23.18106673,21.42041734,22.39976839,44969868.68,21.69323246,23.16486371,21.43198627,22.38724544,19971542.21,474117,19971542,12134,18317896,6194177
2021-10-01T00:00:00Z,19.81439692,21.71972720,19.75564986,21.65845007,31864214.92,19.79696496,21.72022496,19.79696496,21.64489141,11843178.45,305022,11843178,7918,15462247,4245846
2021-09-30T00:00:00Z,19.06149843,19.98169238,19.03668460,19.80728160,18122583.15,19.03240396,19.95733339,19.03240396,19.78247971,6278764.96,131352,6278764,4605,9043655,2664204
2021-09-29T00:00:00Z,18.91786187,19.83179802,18.57108422,19.06882569,21334366.41,18.88720273,19.74188328,18.55923487,19.05039959,8058900.96,157915,8058900,18677,10187320,2911552
2021-09-28T00:00:00Z,19.86265614,20.06505332,18.81980350,18.92395526,28336596.92,19.83932754,19.99416578,18.78146447,18.87893133,11006912.93,299912,11006912,12106,12689133,4328530
2021-09-27T00:00:00Z,20.80443171,21.63473642,19.84192344,19.87703870,35649935.44,20.78671532,21.59444172,19.83918377,19.86928958,14466615.67,231239,14466615,20383,15983457,4948238
2021-09-26T00:00:00Z,20.38447186,21.63993319,18.87458832,20.81099393,57464456.67,20.37149485,21.77644951,18.91897637,20.81174643,24826445.55,319207,24826445,15119,25027539,7276144
2021-09-25T00:00:00Z,20.26287741,20.82767656,19.50339027,20.41063252,30853939.18,20.24094254,20.81746038,19.52507788,20.38405180,13116837.93,204983,13116837,9843,13581862,3940411
2021-09-24T00:00:00Z,21.93304528,21.93304528,19.08336043,20.26426848,50081324.50,21.94736653,21.94736653,19.04296781,20.24590493,22267284.96,458527,22267284,24208,20035370,7295932
2021-09-23T00:00:00Z,21.68233956,22.40844270,21.33524107,21.92869129,35466236.87,21.67675266,22.39953907,21.41419172,21.96044524,13936495.04,267497,13936495,23275,13228014,8010954
2021-09-22T00:00:00Z,19.77101386,21.84640377,19.70162660,21.70849585,42179681.88,19.73818561,21.84172285,19.73818561,21.69442654,18927182.86,275585,18927182,24238,17610904,5341770
2021-09-21T00:00:00Z,21.31016252,22.18118924,19.18104779,19.74692409,40307355.21,21.28176419,22.09496770,19.16844735,19.70786421,17268150.67,285930,17268150,144427,18278634,4330211
2021-09-20T00:00:00Z,24.77778494,24.77778494,20.65881551,21.31679740,57440007.78,24.80602677,24.80602677,20.64747775,21.28899822,26866189.29,456229,26866189,91347,24432241,5594000
2021-09-19T00:00:00Z,25.75257031,25.75257031,24.35940443,24.74260978,25369209.08,25.75069314,25.75069314,24.44215513,24.78719663,9564337.11,297962,9564337,7873,12167802,3331233
2021-09-18T00:00:00Z,25.92192131,26.65459222,25.27816047,25.76531076,30139081.76,25.89417618,26.62926247,25.27165496,25.76191514,12087664.24,317877,12087664,26215,13681155,4026169
2021-09-17T00:00:00Z,27.96202699,28.12174876,25.46009931,25.92322991,55041822.33,27.97888588,28.08880339,25.43806923,25.89108794,25379048.67,500370,25379048,27011,23661716,5473675
2021-09-16T00:00:00Z,28.30430432,29.77340715,27.28247526,28.01096473,85527263.85,28.30280353,29.74511183,27.29442784,28.02422942,42254407.53,652484,42254407,73348,35471449,7075574
2021-09-15T00:00:00Z,27.01328662,28.56904955,26.64813328,28.26870769,76046524.77,27.00779444,28.59009959,26.67417578,28.27180523,38940883.60,581907,38940883,14316,30331584,6177833
