day,pool,tvl
2022-03-07T00:00:00,BB-A-USD (7b507753),101321181.75786394
2022-03-08T00:00:00,BB-A-USD (7b507753),97591917.4139348
2022-03-08T00:00:00,Total,97591917.4139348
2022-03-09T00:00:00,Total,97161891.12664846
2022-03-09T00:00:00,BB-A-USD (7b507753),97161891.12664846
2022-03-10T00:00:00,BB-A-USD (7b507753),97953618.02355555
2022-03-10T00:00:00,Total,97953618.02355555
2022-03-11T00:00:00,Total,96770445.98004432
2022-03-11T00:00:00,BB-A-USD (7b507753),96770445.98004432
2022-03-12T00:00:00,BB-A-USD (7b507753),96907359.09434673
2022-03-12T00:00:00,Total,96907359.09434673
2022-03-13T00:00:00,Total,97139401.85928786
2022-03-13T00:00:00,BB-A-USD (7b507753),97139401.85928786
2022-03-14T00:00:00,BB-A-USD (7b507753),99657126.13487369
2022-03-14T00:00:00,Total,99657126.13487369
2022-03-15T00:00:00,Total,99765324.4483532
2022-03-15T00:00:00,BB-A-USD (7b507753),99765324.4483532
2022-03-16T00:00:00,BB-A-USD (7b507753),99661623.39673969
2022-03-16T00:00:00,Total,99661623.39673969
2022-03-17T00:00:00,Total,99732398.80435163
2022-03-17T00:00:00,BB-A-USD (7b507753),99732398.80435163
2022-03-18T00:00:00,BB-A-USD (7b507753),99732398.80435163
2022-03-18T00:00:00,Total,99732398.80435163
2022-03-19T00:00:00,Total,99832165.99383956
2022-03-19T00:00:00,BB-A-USD (7b507753),99832165.99383956
2022-03-20T00:00:00,BB-A-USD (7b507753),99832165.99383956
2022-03-20T00:00:00,Total,99832165.99383956
2022-03-21T00:00:00,Total,99820701.2522704
2022-03-21T00:00:00,BB-A-USD (7b507753),99820701.2522704
2022-03-22T00:00:00,BB-A-USD (7b507753),98511952.09148476
2022-03-22T00:00:00,Total,98511952.09148476
2022-03-23T00:00:00,Total,98681268.74165699
2022-03-23T00:00:00,BB-A-USD (7b507753),98681268.74165699
2022-03-24T00:00:00,BB-A-USD (7b507753),98930980.50053671
2022-03-24T00:00:00,Total,98930980.50053671
2022-03-25T00:00:00,Total,98548537.72166461
2022-03-25T00:00:00,BB-A-USD (7b507753),98548537.72166461
2022-03-26T00:00:00,BB-A-USD (7b507753),98865468.23528627
2022-03-26T00:00:00,Total,98865468.23528627
2022-03-27T00:00:00,Total,99086158.80750577
2022-03-27T00:00:00,BB-A-USD (7b507753),99086158.80750577
2022-03-28T00:00:00,BB-A-USD (7b507753),100177002.83130494
2022-03-28T00:00:00,Total,100177002.83130494
