claimed torn,max_airdrop,day
329377,500000,2021-04-18T00:00:00+00:00
329428,500000,2021-04-19T00:00:00+00:00
329795,500000,2021-04-20T00:00:00+00:00
330213,500000,2021-04-21T00:00:00+00:00
330335,500000,2021-04-22T00:00:00+00:00
330517,500000,2021-04-23T00:00:00+00:00
330741,500000,2021-04-24T00:00:00+00:00
331089,500000,2021-04-25T00:00:00+00:00
331128,500000,2021-04-26T00:00:00+00:00
331195,500000,2021-04-27T00:00:00+00:00
331395,500000,2021-04-28T00:00:00+00:00
331650,500000,2021-04-29T00:00:00+00:00
331669,500000,2021-04-30T00:00:00+00:00
331695,500000,2021-05-01T00:00:00+00:00
331917,500000,2021-05-02T00:00:00+00:00
332396,500000,2021-05-03T00:00:00+00:00
332588,500000,2021-05-04T00:00:00+00:00
333099,500000,2021-05-05T00:00:00+00:00
333210,500000,2021-05-06T00:00:00+00:00
333427,500000,2021-05-07T00:00:00+00:00
333478,500000,2021-05-08T00:00:00+00:00
334611,500000,2021-05-09T00:00:00+00:00
334611,500000,2021-05-10T00:00:00+00:00
334611,500000,2021-05-11T00:00:00+00:00
334649,500000,2021-05-12T00:00:00+00:00
334726,500000,2021-05-13T00:00:00+00:00
335166,500000,2021-05-14T00:00:00+00:00
335795,500000,2021-05-15T00:00:00+00:00
335827,500000,2021-05-16T00:00:00+00:00
335926,500000,2021-05-17T00:00:00+00:00
336058,500000,2021-05-18T00:00:00+00:00
336058,500000,2021-05-19T00:00:00+00:00
336076,500000,2021-05-20T00:00:00+00:00
336147,500000,2021-05-21T00:00:00+00:00
336354,500000,2021-05-22T00:00:00+00:00
336354,500000,2021-05-23T00:00:00+00:00
336379,500000,2021-05-24T00:00:00+00:00
336502,500000,2021-05-25T00:00:00+00:00
336650,500000,2021-05-26T00:00:00+00:00
336650,500000,2021-05-27T00:00:00+00:00
336670,500000,2021-05-28T00:00:00+00:00
336727,500000,2021-05-29T00:00:00+00:00
336727,500000,2021-05-30T00:00:00+00:00
336807,500000,2021-05-31T00:00:00+00:00
336859,500000,2021-06-01T00:00:00+00:00
336859,500000,2021-06-02T00:00:00+00:00
336859,500000,2021-06-03T00:00:00+00:00
336878,500000,2021-06-04T00:00:00+00:00
337055,500000,2021-06-05T00:00:00+00:00
337055,500000,2021-06-06T00:00:00+00:00
337069,500000,2021-06-07T00:00:00+00:00
337090,500000,2021-06-08T00:00:00+00:00
337204,500000,2021-06-09T00:00:00+00:00
337279,500000,2021-06-10T00:00:00+00:00
338082,500000,2021-06-11T00:00:00+00:00
338102,500000,2021-06-12T00:00:00+00:00
338103,500000,2021-06-13T00:00:00+00:00
338120,500000,2021-06-14T00:00:00+00:00
338312,500000,2021-06-15T00:00:00+00:00
338417,500000,2021-06-16T00:00:00+00:00
338492,500000,2021-06-17T00:00:00+00:00
339082,500000,2021-06-18T00:00:00+00:00
339188,500000,2021-06-19T00:00:00+00:00
339252,500000,2021-06-20T00:00:00+00:00
339264,500000,2021-06-21T00:00:00+00:00
339264,500000,2021-06-22T00:00:00+00:00
339434,500000,2021-06-23T00:00:00+00:00
339443,500000,2021-06-24T00:00:00+00:00
339443,500000,2021-06-25T00:00:00+00:00
339460,500000,2021-06-26T00:00:00+00:00
339534,500000,2021-06-27T00:00:00+00:00
339570,500000,2021-06-28T00:00:00+00:00
339622,500000,2021-06-29T00:00:00+00:00
339728,500000,2021-06-30T00:00:00+00:00
339872,500000,2021-07-01T00:00:00+00:00
340347,500000,2021-07-02T00:00:00+00:00
340347,500000,2021-07-03T00:00:00+00:00
340426,500000,2021-07-04T00:00:00+00:00
340524,500000,2021-07-05T00:00:00+00:00
341540,500000,2021-07-06T00:00:00+00:00
342425,500000,2021-07-07T00:00:00+00:00
342483,500000,2021-07-08T00:00:00+00:00
342561,500000,2021-07-09T00:00:00+00:00
342580,500000,2021-07-10T00:00:00+00:00
342588,500000,2021-07-11T00:00:00+00:00
342607,500000,2021-07-12T00:00:00+00:00
342607,500000,2021-07-13T00:00:00+00:00
342795,500000,2021-07-14T00:00:00+00:00
342877,500000,2021-07-15T00:00:00+00:00
342930,500000,2021-07-16T00:00:00+00:00
342948,500000,2021-07-17T00:00:00+00:00
342948,500000,2021-07-18T00:00:00+00:00
342992,500000,2021-07-19T00:00:00+00:00
343012,500000,2021-07-20T00:00:00+00:00
343035,500000,2021-07-21T00:00:00+00:00
343035,500000,2021-07-22T00:00:00+00:00
343035,500000,2021-07-23T00:00:00+00:00
343035,500000,2021-07-24T00:00:00+00:00
343035,500000,2021-07-25T00:00:00+00:00
343055,500000,2021-07-26T00:00:00+00:00
343055,500000,2021-07-27T00:00:00+00:00
343153,500000,2021-07-28T00:00:00+00:00
343190,500000,2021-07-29T00:00:00+00:00
343250,500000,2021-07-30T00:00:00+00:00
343291,500000,2021-07-31T00:00:00+00:00
343683,500000,2021-08-01T00:00:00+00:00
343747,500000,2021-08-02T00:00:00+00:00
343747,500000,2021-08-03T00:00:00+00:00
344096,500000,2021-08-04T00:00:00+00:00
344167,500000,2021-08-05T00:00:00+00:00
344167,500000,2021-08-06T00:00:00+00:00
344376,500000,2021-08-07T00:00:00+00:00
344376,500000,2021-08-08T00:00:00+00:00
344391,500000,2021-08-09T00:00:00+00:00
344391,500000,2021-08-10T00:00:00+00:00
344412,500000,2021-08-11T00:00:00+00:00
344412,500000,2021-08-12T00:00:00+00:00
344469,500000,2021-08-13T00:00:00+00:00
344497,500000,2021-08-14T00:00:00+00:00
344497,500000,2021-08-15T00:00:00+00:00
344497,500000,2021-08-16T00:00:00+00:00
344674,500000,2021-08-17T00:00:00+00:00
344674,500000,2021-08-18T00:00:00+00:00
344674,500000,2021-08-19T00:00:00+00:00
344715,500000,2021-08-20T00:00:00+00:00
344742,500000,2021-08-21T00:00:00+00:00
344742,500000,2021-08-22T00:00:00+00:00
344742,500000,2021-08-23T00:00:00+00:00
344811,500000,2021-08-24T00:00:00+00:00
344916,500000,2021-08-25T00:00:00+00:00
344916,500000,2021-08-26T00:00:00+00:00
344917,500000,2021-08-27T00:00:00+00:00
344917,500000,2021-08-28T00:00:00+00:00
345015,500000,2021-08-29T00:00:00+00:00
345066,500000,2021-08-30T00:00:00+00:00
345144,500000,2021-08-31T00:00:00+00:00
345273,500000,2021-09-01T00:00:00+00:00
345408,500000,2021-09-02T00:00:00+00:00
345408,500000,2021-09-03T00:00:00+00:00
345408,500000,2021-09-04T00:00:00+00:00
345588,500000,2021-09-05T00:00:00+00:00
345766,500000,2021-09-06T00:00:00+00:00
345787,500000,2021-09-07T00:00:00+00:00
346228,500000,2021-09-08T00:00:00+00:00
346228,500000,2021-09-09T00:00:00+00:00
346289,500000,2021-09-10T00:00:00+00:00
346306,500000,2021-09-11T00:00:00+00:00
346381,500000,2021-09-12T00:00:00+00:00
346396,500000,2021-09-13T00:00:00+00:00
346396,500000,2021-09-14T00:00:00+00:00
346418,500000,2021-09-15T00:00:00+00:00
346418,500000,2021-09-16T00:00:00+00:00
346499,500000,2021-09-17T00:00:00+00:00
346850,500000,2021-09-18T00:00:00+00:00
346850,500000,2021-09-19T00:00:00+00:00
346927,500000,2021-09-20T00:00:00+00:00
346927,500000,2021-09-21T00:00:00+00:00
347655,500000,2021-09-22T00:00:00+00:00
347853,500000,2021-09-23T00:00:00+00:00
347853,500000,2021-09-24T00:00:00+00:00
347853,500000,2021-09-25T00:00:00+00:00
347853,500000,2021-09-26T00:00:00+00:00
347877,500000,2021-09-27T00:00:00+00:00
347987,500000,2021-09-28T00:00:00+00:00
348057,500000,2021-09-29T00:00:00+00:00
348057,500000,2021-09-30T00:00:00+00:00
348081,500000,2021-10-01T00:00:00+00:00
348081,500000,2021-10-02T00:00:00+00:00
348081,500000,2021-10-03T00:00:00+00:00
348081,500000,2021-10-04T00:00:00+00:00
348157,500000,2021-10-05T00:00:00+00:00
348436,500000,2021-10-06T00:00:00+00:00
348436,500000,2021-10-07T00:00:00+00:00
348499,500000,2021-10-08T00:00:00+00:00
348595,500000,2021-10-09T00:00:00+00:00
348595,500000,2021-10-10T00:00:00+00:00
348767,500000,2021-10-11T00:00:00+00:00
348767,500000,2021-10-12T00:00:00+00:00
348767,500000,2021-10-13T00:00:00+00:00
348767,500000,2021-10-14T00:00:00+00:00
348789,500000,2021-10-15T00:00:00+00:00
348868,500000,2021-10-16T00:00:00+00:00
348897,500000,2021-10-17T00:00:00+00:00
349241,500000,2021-10-18T00:00:00+00:00
349344,500000,2021-10-19T00:00:00+00:00
349569,500000,2021-10-20T00:00:00+00:00
349695,500000,2021-10-21T00:00:00+00:00
349769,500000,2021-10-22T00:00:00+00:00
350183,500000,2021-10-23T00:00:00+00:00
350204,500000,2021-10-24T00:00:00+00:00
350374,500000,2021-10-25T00:00:00+00:00
350395,500000,2021-10-26T00:00:00+00:00
350395,500000,2021-10-27T00:00:00+00:00
350454,500000,2021-10-28T00:00:00+00:00
350454,500000,2021-10-29T00:00:00+00:00
350454,500000,2021-10-30T00:00:00+00:00
350454,500000,2021-10-31T00:00:00+00:00
350454,500000,2021-11-01T00:00:00+00:00
350474,500000,2021-11-02T00:00:00+00:00
350474,500000,2021-11-03T00:00:00+00:00
350501,500000,2021-11-04T00:00:00+00:00
350531,500000,2021-11-05T00:00:00+00:00
350669,500000,2021-11-06T00:00:00+00:00
350715,500000,2021-11-07T00:00:00+00:00
350749,500000,2021-11-08T00:00:00+00:00
350848,500000,2021-11-09T00:00:00+00:00
350848,500000,2021-11-10T00:00:00+00:00
350858,500000,2021-11-11T00:00:00+00:00
350874,500000,2021-11-12T00:00:00+00:00
350896,500000,2021-11-13T00:00:00+00:00
351002,500000,2021-11-14T00:00:00+00:00
351161,500000,2021-11-15T00:00:00+00:00
351168,500000,2021-11-16T00:00:00+00:00
351724,500000,2021-11-17T00:00:00+00:00
351964,500000,2021-11-18T00:00:00+00:00
352240,500000,2021-11-19T00:00:00+00:00
352584,500000,2021-11-20T00:00:00+00:00
352584,500000,2021-11-21T00:00:00+00:00
352584,500000,2021-11-22T00:00:00+00:00
352584,500000,2021-11-23T00:00:00+00:00
352584,500000,2021-11-24T00:00:00+00:00
352633,500000,2021-11-25T00:00:00+00:00
352633,500000,2021-11-26T00:00:00+00:00
352867,500000,2021-11-27T00:00:00+00:00
352867,500000,2021-11-28T00:00:00+00:00
352867,500000,2021-11-29T00:00:00+00:00
352978,500000,2021-11-30T00:00:00+00:00
352997,500000,2021-12-01T00:00:00+00:00
353035,500000,2021-12-02T00:00:00+00:00
354674,500000,2021-12-03T00:00:00+00:00
355265,500000,2021-12-04T00:00:00+00:00
355381,500000,2021-12-05T00:00:00+00:00
355807,500000,2021-12-06T00:00:00+00:00
356009,500000,2021-12-07T00:00:00+00:00
356009,500000,2021-12-08T00:00:00+00:00
356052,500000,2021-12-09T00:00:00+00:00
356052,500000,2021-12-10T00:00:00+00:00
356109,500000,2021-12-11T00:00:00+00:00
356169,500000,2021-12-12T00:00:00+00:00
356169,500000,2021-12-13T00:00:00+00:00
356169,500000,2021-12-14T00:00:00+00:00
356169,500000,2021-12-15T00:00:00+00:00
356169,500000,2021-12-16T00:00:00+00:00
500000,500000,2021-12-17T00:00:00+00:00
