time,deposits_eth,withdrawals_eth,deposits,withdrawals
2021-12-17T00:00:00+00:00,5000.0000000000000000,1100.0000000000000000,19298454.000000007,3890839
2021-12-16T00:00:00+00:00,3800.0000000000000000,2300.0000000000000000,15317848,9272364.000000004
2021-12-15T00:00:00+00:00,2100.0000000000000000,4900.0000000000000000,8101767.000000002,19061781.000000004
2021-12-14T00:00:00+00:00,4400.0000000000000000,3300.0000000000000000,16717587.000000002,12608929.999999998
2021-12-13T00:00:00+00:00,2300.0000000000000000,4200.0000000000000000,9117531,16293736
2021-12-12T00:00:00+00:00,7900.0000000000000000,22000.000000000000,32157293.000000015,89290776.99999994
2021-12-11T00:00:00+00:00,800.0000000000000000,8200.0000000000000000,3210526.0000000005,32936436
2021-12-10T00:00:00+00:00,1000.0000000000000000,4600.0000000000000000,4097331.9999999995,18783607.000000007
2021-12-09T00:00:00+00:00,4100.0000000000000000,3600.0000000000000000,18058442,15220160.000000007
2021-12-08T00:00:00+00:00,2400.0000000000000000,4100.0000000000000000,10478995.000000002,17973399
2021-12-07T00:00:00+00:00,1400.0000000000000000,3200.0000000000000000,6079762,13912219.000000002
2021-12-06T00:00:00+00:00,5800.0000000000000000,2500.0000000000000000,23734925.999999996,10302081
2021-12-05T00:00:00+00:00,34400.000000000000,4300.0000000000000000,142546748.99999973,18034135.999999993
2021-12-04T00:00:00+00:00,3500.0000000000000000,3600.0000000000000000,14148659.000000002,14360873.000000002
2021-12-03T00:00:00+00:00,1900.0000000000000000,6300.0000000000000000,8407924,28379557.00000002
2021-12-02T00:00:00+00:00,2300.0000000000000000,5200.0000000000000000,10418367.000000002,23499420.999999996
2021-12-01T00:00:00+00:00,2700.0000000000000000,3800.0000000000000000,12757608.999999998,17773134.99999999
2021-11-30T00:00:00+00:00,1700.0000000000000000,5100.0000000000000000,7697193.000000001,22848593.000000007
2021-11-29T00:00:00+00:00,1400.0000000000000000,2800.0000000000000000,6092332.999999999,12165894
2021-11-28T00:00:00+00:00,1600.0000000000000000,1500.0000000000000000,6547075.999999998,6117760.999999999
2021-11-27T00:00:00+00:00,1100.0000000000000000,1500.0000000000000000,4527481,6168925
2021-11-26T00:00:00+00:00,4400.0000000000000000,5300.0000000000000000,18207929,22141581.000000004
2021-11-25T00:00:00+00:00,1600.0000000000000000,4100.0000000000000000,7031096.999999999,17957510
2021-11-24T00:00:00+00:00,2400.0000000000000000,6600.0000000000000000,10252760.000000002,28229402
2021-11-23T00:00:00+00:00,4500.0000000000000000,3700.0000000000000000,18991488.000000004,15509672
2021-11-22T00:00:00+00:00,1400.0000000000000000,3200.0000000000000000,5901136.000000001,13364214.999999998
2021-11-21T00:00:00+00:00,2100.0000000000000000,3200.0000000000000000,9156296,13983113
2021-11-20T00:00:00+00:00,1400.0000000000000000,1800.0000000000000000,6035079.000000001,7760889.000000001
2021-11-19T00:00:00+00:00,1300.0000000000000000,4800.0000000000000000,5383501.000000001,19717678.000000004
2021-11-18T00:00:00+00:00,6700.0000000000000000,4800.0000000000000000,28508144.999999996,20205819.999999996
